#Transcript	Protein	Gene	Gene Description	Structural Category	Coding	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
PB.29064.12	Protein_PB.29064.12	YME1L1	YME1L1	incomplete-splice_match	YES	335.99	394.86	315.27
PB.29064.13	Protein_PB.29064.13	YME1L1	YME1L1	incomplete-splice_match	YES	10.8	47.39	26.33
PB.29064.14	Protein_PB.29064.14	LOC113248686	LOC113248686	full-splice_match	YES	303.61	296.26	206.01
PB.29064.17	Protein_PB.29064.17	LOC113248686	LOC113248686	full-splice_match	YES	649.63	568.62	594.54
PB.29064.2	Protein_PB.29064.2	YME1L1	YME1L1	incomplete-splice_match	YES	452.72	513.42	418.84
PB.29064.3	Protein_PB.29064.3	YME1L1	YME1L1	novel_not_in_catalog	YES	39.11	18.72	19.66
PB.29064.5	Protein_PB.29064.5	YME1L1	YME1L1	novel_in_catalog	YES	117.29	123.36	181.62
PB.29064.6	Protein_PB.29064.6	YME1L1	YME1L1	novel_in_catalog	YES	49.8	54.28	54.09
PB.29064.9	Protein_PB.29064.9	YME1L1	YME1L1	novel_not_in_catalog	YES	7.64	8.1	28.09
PB.29065.1	Protein_PB.29065.1	LOC113248694	LOC113248694	full-splice_match	YES	295.97	259.8	216.31
PB.29065.2	Protein_PB.29065.2	LOC113248694	LOC113248694	full-splice_match	YES	190.33	183.89	148.96
PB.29065.3	Protein_PB.29065.3	LOC113248696	LOC113248696	full-splice_match	YES	189.74	193.19	156.35
PB.29066.1	Protein_PB.29066.1	LOC113248688	LOC113248688	full-splice_match	YES	524.45	456.49	391.84
PB.29066.2	Protein_PB.29066.2	LOC113248688	LOC113248688	full-splice_match	YES	186.91	180.48	136.2
PB.29067.3	Protein_PB.29067.3	LOC113248689	LOC113248689	full-splice_match	YES	34.87	34.61	31.23
PB.29067.4	Protein_PB.29067.4	LOC113248689	LOC113248689	novel_in_catalog	YES	34.4	45.06	50.95
PB.29067.5	Protein_PB.29067.5	LOC113248689	LOC113248689	full-splice_match	YES	56.69	52.77	46.39
PB.29067.6	Protein_PB.29067.6	LOC113248689	LOC113248689	full-splice_match	YES	21.35	22.36	26.12
PB.29068.12	Protein_PB.29068.12	ABI1	ABI1	novel_not_in_catalog	YES	17.15	18.81	22.5
PB.29068.13	Protein_PB.29068.13	ABI1	ABI1	novel_in_catalog	YES	46.4	55.18	53.03
PB.29068.14	Protein_PB.29068.14	ABI1	ABI1	full-splice_match	YES	50.24	24.83	15.24
PB.29068.15	Protein_PB.29068.15	ABI1	ABI1	novel_not_in_catalog	YES	91.42	101.41	107.99
PB.29068.18	Protein_PB.29068.18	ABI1	ABI1	novel_not_in_catalog	YES	139.01	140.23	147.64
PB.29068.19	Protein_PB.29068.19	ABI1	ABI1	incomplete-splice_match	YES	18.98	29.93	32.22
PB.29068.2	Protein_PB.29068.2	ABI1	ABI1	full-splice_match	YES	58.46	67.04	45.6
PB.29068.5	Protein_PB.29068.5	ABI1	ABI1	novel_not_in_catalog	YES	43.69	43.52	70.2
PB.29068.7	Protein_PB.29068.7	ABI1	ABI1	full-splice_match	YES	63.61	73.59	85.97
PB.2908.1	Protein_PB.2908.1	ARL4C	ARL4C	full-splice_match	YES	28.38	35.84	42.33
PB.29081.1	Protein_PB.29081.1	SYDE1	SYDE1	novel_in_catalog	YES	62.44	48.59	63.76
PB.29081.2	Protein_PB.29081.2	SYDE1	SYDE1	novel_not_in_catalog	YES	16.24	15.35	25.19
PB.29082.1	Protein_PB.29082.1	LOC113248705	LOC113248705	full-splice_match	YES	77.05	60.19	238.35
PB.29083.1	Protein_PB.29083.1	LOC113248719	LOC113248719	full-splice_match	YES	1071.55	873.07	677.33
PB.29087.1	Protein_PB.29087.1	ILVBL	ILVBL	novel_not_in_catalog	YES	11.21	18.26	11.24
PB.29087.11	Protein_PB.29087.11	ILVBL	ILVBL	novel_in_catalog	YES	15.27	14.45	17.77
PB.29087.2	Protein_PB.29087.2	ILVBL	ILVBL	novel_in_catalog	YES	71.46	74.18	69.75
PB.29087.3	Protein_PB.29087.3	ILVBL	ILVBL	novel_in_catalog	YES	21.63	0.0	0.0
PB.29087.4	Protein_PB.29087.4	ILVBL	ILVBL	full-splice_match	YES	50.77	60.44	47.28
PB.29087.5	Protein_PB.29087.5	ILVBL	ILVBL	novel_not_in_catalog	YES	263.46	332.05	223.02
PB.29087.6	Protein_PB.29087.6	ILVBL	ILVBL	full-splice_match	YES	5.33	9.61	19.92
PB.29087.8	Protein_PB.29087.8	ILVBL	ILVBL	novel_in_catalog	YES	171.92	104.09	27.23
PB.29087.9	Protein_PB.29087.9	ILVBL	ILVBL	full-splice_match	YES	394.5	353.78	205.32
PB.29088.3	Protein_PB.29088.3	NOTCH3	NOTCH3	full-splice_match	YES	77.83	74.57	102.16
PB.29089.6	Protein_PB.29089.6	EPHX3	EPHX3	novel_not_in_catalog	YES	13.7	15.38	14.26
PB.29090.1	Protein_PB.29090.1	BRD4	BRD4	full-splice_match	YES	60.84	0.0	0.0
PB.29090.2	Protein_PB.29090.2	BRD4	BRD4	full-splice_match	YES	172.75	187.21	235.06
PB.29090.3	Protein_PB.29090.3	BRD4	BRD4	novel_not_in_catalog	YES	63.16	54.21	63.71
PB.29091.1	Protein_PB.29091.1	AKAP8	AKAP8	novel_not_in_catalog	YES	29.06	40.34	33.68
PB.29091.2	Protein_PB.29091.2	AKAP8	AKAP8	full-splice_match	YES	51.85	34.49	69.36
PB.29091.4	Protein_PB.29091.4	AKAP8	AKAP8	novel_in_catalog	YES	30.11	26.85	50.02
PB.29091.5	Protein_PB.29091.5	AKAP8	AKAP8	novel_in_catalog	YES	44.12	46.2	48.83
PB.29092.1	Protein_PB.29092.1	AKAP8L	AKAP8L	full-splice_match	YES	169.31	169.55	190.94
PB.29093.1	Protein_PB.29093.1	WIZ	WIZ	incomplete-splice_match	YES	21.78	25.8	33.84
PB.29093.2	Protein_PB.29093.2	WIZ	WIZ	full-splice_match	YES	59.58	48.32	50.94
PB.29093.5	Protein_PB.29093.5	WIZ	WIZ	full-splice_match	YES	19.03	5.35	17.56
PB.29094.2	Protein_PB.29094.2	RASAL3	RASAL3	full-splice_match	YES	100.2	54.44	118.29
PB.29094.3	Protein_PB.29094.3	RASAL3	RASAL3	novel_not_in_catalog	YES	30.13	29.56	37.3
PB.29095.1	Protein_PB.29095.1	PGLYRP2	PGLYRP2	full-splice_match	YES	466.14	515.29	969.51
PB.29095.2	Protein_PB.29095.2	PGLYRP2	PGLYRP2	novel_not_in_catalog	YES	12.19	9.51	27.85
PB.29095.3		PGLYRP2	PGLYRP2	novel_not_in_catalog	NO	365.45	421.2	555.75
PB.29100.1		LOC113248733	LOC113248733	full-splice_match	NO	22.66	23.05	24.05
PB.29102.1	Protein_PB.29102.1	LOC113248746	LOC113248746	full-splice_match	YES	484.14	763.55	1078.01
PB.29119.1		LOC113248725	LOC113248725	full-splice_match	NO	20.97	49.53	98.6
PB.29120.1		LOC113248751	LOC113248751	full-splice_match	NO	639226.33	267912.41	877686.98
PB.29121.1		novelGene_3153	novelGene_3153	intergenic	NO	1075.02	385.15	3057.83
PB.29122.1		LOC113248754	LOC113248754	full-splice_match	NO	7021.33	2851.18	19586.33
PB.29122.3		LOC113248754	LOC113248754	full-splice_match	NO	7281.61	1226.09	12594.18
PB.29126.1		LOC113248758	LOC113248758	full-splice_match	NO	110.02	94.29	86.93
PB.2913.1	Protein_PB.2913.1	USP40	USP40	novel_in_catalog	YES	42.17	21.37	37.68
PB.2913.11	Protein_PB.2913.11	USP40	USP40	incomplete-splice_match	YES	16.6	20.99	24.37
PB.2913.12	Protein_PB.2913.12	USP40	USP40	full-splice_match	YES	40.06	35.84	50.26
PB.2913.13	Protein_PB.2913.13	USP40	USP40	novel_in_catalog	YES	13.63	5.08	17.96
PB.2913.14	Protein_PB.2913.14	USP40	USP40	incomplete-splice_match	YES	20.26	14.64	12.43
PB.2913.2	Protein_PB.2913.2	USP40	USP40	incomplete-splice_match	YES	11.63	11.99	30.49
PB.2913.4	Protein_PB.2913.4	USP40	USP40	full-splice_match	YES	45.25	43.62	20.53
PB.2913.7	Protein_PB.2913.7	USP40	USP40	incomplete-splice_match	YES	17.35	14.5	11.81
PB.2913.8	Protein_PB.2913.8	USP40	USP40	full-splice_match	YES	73.58	95.09	124.73
PB.29130.1	Protein_PB.29130.1	LOC113248766	LOC113248766	full-splice_match	YES	68.12	82.03	93.98
PB.29136.19	Protein_PB.29136.19	RIC8A	RIC8A	novel_in_catalog	YES	27.97	12.08	12.78
PB.29136.3	Protein_PB.29136.3	RIC8A	RIC8A	full-splice_match	YES	95.14	107.15	112.02
PB.29138.1	Protein_PB.29138.1	PSMD13	PSMD13	novel_in_catalog	YES	19.23	32.39	24.31
PB.29138.11	Protein_PB.29138.11	PSMD13	PSMD13	full-splice_match	YES	234.74	229.69	262.05
PB.29138.12	Protein_PB.29138.12	PSMD13	PSMD13	novel_in_catalog	YES	27.07	19.41	32.02
PB.29138.17	Protein_PB.29138.17	PSMD13	PSMD13	novel_in_catalog	YES	17.93	21.5	22.46
PB.29138.3	Protein_PB.29138.3	PSMD13	PSMD13	incomplete-splice_match	YES	59.04	13.42	39.47
PB.2914.1	Protein_PB.2914.1	NGEF	NGEF	full-splice_match	YES	60.44	65.69	91.46
PB.2914.2	Protein_PB.2914.2	NGEF	NGEF	full-splice_match	YES	72.25	58.65	88.86
PB.29140.14	Protein_PB.29140.14	PGGHG	PGGHG	novel_in_catalog	YES	24.1	21.44	49.01
PB.29140.21	Protein_PB.29140.21	PGGHG	PGGHG	novel_in_catalog	YES	29.58	39.07	40.08
PB.29140.23	Protein_PB.29140.23	PGGHG	PGGHG	novel_in_catalog	YES	14.47	0.13	2.84
PB.29140.4	Protein_PB.29140.4	PGGHG	PGGHG	novel_in_catalog	YES	8.11	7.52	36.32
PB.29140.7	Protein_PB.29140.7	PGGHG	PGGHG	full-splice_match	YES	44.42	52.25	7.71
PB.29140.9	Protein_PB.29140.9	PGGHG	PGGHG	novel_not_in_catalog	YES	5.2	7.42	23.4
PB.29141.1	Protein_PB.29141.1	LOC113248775	LOC113248775	full-splice_match	YES	993.27	989.46	904.08
PB.29147.1	Protein_PB.29147.1	RASSF7	RASSF7	novel_in_catalog	YES	68.96	44.23	20.42
PB.29147.5	Protein_PB.29147.5	RASSF7	RASSF7	incomplete-splice_match	YES	27.98	13.68	7.25
PB.29147.6	Protein_PB.29147.6	RASSF7	RASSF7	novel_not_in_catalog	YES	116.44	89.71	54.62
PB.29148.2	Protein_PB.29148.2	PHRF1	PHRF1	full-splice_match	YES	103.28	71.35	115.9
PB.29148.3	Protein_PB.29148.3	PHRF1	PHRF1	full-splice_match	YES	72.94	33.99	40.82
PB.29148.4	Protein_PB.29148.4	PHRF1	PHRF1	full-splice_match	YES	21.99	23.0	6.95
PB.29150.10	Protein_PB.29150.10	TMEM80	TMEM80	novel_not_in_catalog	YES	14.88	6.74	16.74
PB.29150.2	Protein_PB.29150.2	TMEM80	TMEM80	novel_in_catalog	YES	39.33	45.27	48.71
PB.29150.4	Protein_PB.29150.4	TMEM80	TMEM80	novel_in_catalog	YES	0.68	16.85	0.0
PB.29150.6	Protein_PB.29150.6	TMEM80	TMEM80	novel_not_in_catalog	YES	4.66	15.08	9.01
PB.29150.8	Protein_PB.29150.8	TMEM80	TMEM80	incomplete-splice_match	YES	7.92	4.6	21.81
PB.29150.9	Protein_PB.29150.9	TMEM80	TMEM80	novel_not_in_catalog	YES	6.26	5.9	15.42
PB.29151.2	Protein_PB.29151.2	EPS8L2	EPS8L2	full-splice_match	YES	290.55	285.93	337.17
PB.29151.3	Protein_PB.29151.3	EPS8L2	EPS8L2	novel_in_catalog	YES	56.12	52.03	136.5
PB.29151.5	Protein_PB.29151.5	EPS8L2	EPS8L2	novel_in_catalog	YES	19.02	23.85	33.14
PB.29151.6	Protein_PB.29151.6	EPS8L2	EPS8L2	novel_in_catalog	YES	28.43	21.19	41.27
PB.29151.8	Protein_PB.29151.8	EPS8L2	EPS8L2	full-splice_match	YES	43.62	45.32	58.31
PB.29151.9	Protein_PB.29151.9	EPS8L2	EPS8L2	incomplete-splice_match	YES	21.94	29.2	65.07
PB.29152.11	Protein_PB.29152.11	TALDO1	TALDO1	novel_not_in_catalog	YES	19.21	9.35	12.77
PB.29152.2	Protein_PB.29152.2	TALDO1	TALDO1	full-splice_match	YES	1011.45	1037.07	723.25
PB.29153.2	Protein_PB.29153.2	LOC113248767	LOC113248767	full-splice_match	YES	13.1	10.95	25.61
PB.29153.3	Protein_PB.29153.3	LOC113248767	LOC113248767	full-splice_match	YES	9.12	6.31	19.49
PB.29155.1	Protein_PB.29155.1	RPLP2	RPLP2	full-splice_match	YES	1350.14	1597.77	2532.69
PB.29155.5		novelGene_3155	novelGene_3155	intergenic	NO	69.74	174.0	81.37
PB.29156.1	Protein_PB.29156.1	PNPLA2	PNPLA2	full-splice_match	YES	100.71	137.18	217.26
PB.29156.7	Protein_PB.29156.7	PNPLA2	PNPLA2	novel_in_catalog	YES	16.65	13.77	44.46
PB.29156.8	Protein_PB.29156.8	PNPLA2	PNPLA2	novel_in_catalog	YES	26.42	21.99	53.85
PB.29158.1	Protein_PB.29158.1	BET1L	BET1L	full-splice_match	YES	39.3	47.1	52.77
PB.29158.4	Protein_PB.29158.4	BET1L	BET1L	full-splice_match	YES	16.7	27.33	15.09
PB.29158.5	Protein_PB.29158.5	BET1L	BET1L	novel_in_catalog	YES	18.46	17.46	27.12
PB.29158.7	Protein_PB.29158.7	BET1L	BET1L	novel_in_catalog	YES	13.41	13.01	17.45
PB.29158.8	Protein_PB.29158.8	BET1L	BET1L	novel_not_in_catalog	YES	54.38	25.71	25.05
PB.29158.9	Protein_PB.29158.9	BET1L	BET1L	novel_not_in_catalog	YES	179.43	209.78	187.78
PB.29159.10	Protein_PB.29159.10	SIRT3	SIRT3	full-splice_match	YES	91.99	79.77	41.03
PB.29159.11	Protein_PB.29159.11	SIRT3	SIRT3	novel_in_catalog	YES	21.87	22.89	8.56
PB.29159.14	Protein_PB.29159.14	SIRT3	SIRT3	novel_in_catalog	YES	429.01	335.47	428.49
PB.29159.15	Protein_PB.29159.15	SIRT3	SIRT3	novel_in_catalog	YES	286.57	245.74	277.09
PB.29159.22	Protein_PB.29159.22	SIRT3	SIRT3	full-splice_match	YES	1.69	5.84	34.34
PB.29159.3	Protein_PB.29159.3	SIRT3	SIRT3	novel_not_in_catalog	YES	32.59	42.3	39.5
PB.29159.5	Protein_PB.29159.5	SIRT3	SIRT3	novel_in_catalog	YES	35.76	68.35	34.97
PB.29159.6	Protein_PB.29159.6	SIRT3	SIRT3	novel_not_in_catalog	YES	37.5	27.63	21.2
PB.29159.7	Protein_PB.29159.7	SIRT3	SIRT3	novel_in_catalog	YES	30.37	45.37	17.55
PB.29159.9	Protein_PB.29159.9	SIRT3	SIRT3	novel_in_catalog	YES	14.8	25.9	16.15
PB.29162.1	Protein_PB.29162.1	novelGene_LOC113248775_AS	novelGene_LOC113248775_AS	antisense	YES	14.78	8.14	9.26
PB.29164.1	Protein_PB.29164.1	LOC113248777	LOC113248777	full-splice_match	YES	29.01	15.77	15.1
PB.29167.1	Protein_PB.29167.1	LOC113248807	LOC113248807	full-splice_match	YES	2.82	3.35	14.82
PB.29167.2	Protein_PB.29167.2	LOC113248807	LOC113248807	full-splice_match	YES	58.7	52.7	39.43
PB.29167.3	Protein_PB.29167.3	LOC113248807	LOC113248807	full-splice_match	YES	15.56	17.4	6.29
PB.29167.4	Protein_PB.29167.4	LOC113248807	LOC113248807	full-splice_match	YES	19.73	22.55	25.0
PB.29169.1	Protein_PB.29169.1	IRF7	IRF7	full-splice_match	YES	14.56	13.58	8.74
PB.29172.1	Protein_PB.29172.1	DEAF1	DEAF1	full-splice_match	YES	20.83	20.77	31.08
PB.29172.2	Protein_PB.29172.2	DEAF1	DEAF1	full-splice_match	YES	90.33	78.42	70.83
PB.29172.3	Protein_PB.29172.3	DEAF1	DEAF1	incomplete-splice_match	YES	16.07	12.09	17.58
PB.29173.10	Protein_PB.29173.10	GATD1	GATD1	full-splice_match	YES	25.27	36.07	30.59
PB.29173.15	Protein_PB.29173.15	GATD1	GATD1	novel_in_catalog	YES	34.8	29.46	35.34
PB.29173.5	Protein_PB.29173.5	GATD1	GATD1	full-splice_match	YES	22.14	23.73	61.65
PB.29173.6	Protein_PB.29173.6	GATD1	GATD1	novel_not_in_catalog	YES	16.2	3.08	22.98
PB.29173.8	Protein_PB.29173.8	GATD1	GATD1	novel_not_in_catalog	YES	48.89	26.77	41.33
PB.29175.8	Protein_PB.29175.8	SLC25A22	SLC25A22	novel_not_in_catalog	YES	50.48	43.22	62.99
PB.29176.2	Protein_PB.29176.2	PIDD1	PIDD1	full-splice_match	YES	31.98	20.08	47.58
PB.29178.1	Protein_PB.29178.1	GSPT2	GSPT2	full-splice_match	YES	26.66	30.91	32.08
PB.29179.1	Protein_PB.29179.1	MAGED1	MAGED1	full-splice_match	YES	99.89	111.61	107.08
PB.29179.11	Protein_PB.29179.11	MAGED1	MAGED1	full-splice_match	YES	12.7	31.06	119.45
PB.29179.13	Protein_PB.29179.13	MAGED1	MAGED1	novel_in_catalog	YES	6.55	6.47	15.83
PB.29179.15	Protein_PB.29179.15	MAGED1	MAGED1	incomplete-splice_match	YES	17.53	5.57	15.72
PB.29179.2	Protein_PB.29179.2	MAGED1	MAGED1	novel_not_in_catalog	YES	8.02	18.17	21.89
PB.29179.3	Protein_PB.29179.3	MAGED1	MAGED1	novel_not_in_catalog	YES	34.12	3.16	16.6
PB.29179.5	Protein_PB.29179.5	MAGED1	MAGED1	novel_not_in_catalog	YES	31.05	65.26	103.82
PB.29179.9	Protein_PB.29179.9	MAGED1	MAGED1	novel_not_in_catalog	YES	36.83	2.48	27.58
PB.2919.1	Protein_PB.2919.1	PDE6D	PDE6D	incomplete-splice_match	YES	22.82	16.09	21.89
PB.2919.2	Protein_PB.2919.2	PDE6D	PDE6D	full-splice_match	YES	51.18	46.71	56.57
PB.29190.1	Protein_PB.29190.1	ARHGEF9	ARHGEF9	full-splice_match	YES	25.61	27.23	29.09
PB.29190.5	Protein_PB.29190.5	ARHGEF9	ARHGEF9	full-splice_match	YES	6.69	14.93	9.38
PB.29194.1	Protein_PB.29194.1	LOC113248843	LOC113248843	full-splice_match	YES	17.78	19.29	18.0
PB.29196.1		novelGene_3159	novelGene_3159	intergenic	NO	48.16	45.1	50.49
PB.292.1	Protein_PB.292.1	CUNH3orf30	CUNH3orf30	novel_not_in_catalog	YES	23.92	25.96	27.27
PB.29203.1	Protein_PB.29203.1	LOC113248861	LOC113248861	full-splice_match	YES	32.75	30.71	23.19
PB.29203.2	Protein_PB.29203.2	LOC113248861	LOC113248861	full-splice_match	YES	61.61	54.75	69.62
PB.29216.1	Protein_PB.29216.1	LOC113248854	LOC113248854	incomplete-splice_match	YES	97.13	99.97	115.35
PB.29216.2	Protein_PB.29216.2	LOC113248854	LOC113248854	novel_in_catalog	YES	55.35	39.84	24.05
PB.29216.3	Protein_PB.29216.3	LOC113248854	LOC113248854	novel_not_in_catalog	YES	43.93	43.57	46.49
PB.29220.1	Protein_PB.29220.1	PPP1R11	PPP1R11	full-splice_match	YES	156.44	138.56	148.19
PB.29220.2	Protein_PB.29220.2	PPP1R11	PPP1R11	novel_not_in_catalog	YES	28.91	35.88	32.74
PB.29221.1	Protein_PB.29221.1	ZNRD1	ZNRD1	full-splice_match	YES	67.63	72.07	65.01
PB.2923.1	Protein_PB.2923.1	NCL	NCL	incomplete-splice_match	YES	70.07	95.12	114.12
PB.2923.10	Protein_PB.2923.10	NCL	NCL	novel_in_catalog	YES	8.46	20.76	21.99
PB.2923.12	Protein_PB.2923.12	NCL	NCL	incomplete-splice_match	YES	167.05	81.67	217.29
PB.2923.15	Protein_PB.2923.15	NCL	NCL	novel_in_catalog	YES	36.88	33.71	46.28
PB.2923.18	Protein_PB.2923.18	NCL	NCL	incomplete-splice_match	YES	227.83	206.05	334.66
PB.2923.5	Protein_PB.2923.5	NCL	NCL	novel_not_in_catalog	YES	14.27	18.08	29.1
PB.2923.7	Protein_PB.2923.7	NCL	NCL	novel_not_in_catalog	YES	289.37	255.62	218.57
PB.2923.8	Protein_PB.2923.8	NCL	NCL	novel_in_catalog	YES	39.52	42.85	27.26
PB.29234.1	Protein_PB.29234.1	novelGene_LOC113248884_AS	novelGene_LOC113248884_AS	antisense	YES	205.5	160.19	157.97
PB.29235.1		LOC113248896	LOC113248896	full-splice_match	NO	35.98	19.68	21.07
PB.29235.2		LOC113248896	LOC113248896	full-splice_match	NO	47.36	20.36	9.36
PB.29239.10	Protein_PB.29239.10	STX3	STX3	novel_not_in_catalog	YES	64.66	68.61	51.74
PB.29239.12	Protein_PB.29239.12	STX3	STX3	incomplete-splice_match	YES	34.56	23.17	10.75
PB.29239.4	Protein_PB.29239.4	STX3	STX3	incomplete-splice_match	YES	40.33	35.0	24.78
PB.29239.7	Protein_PB.29239.7	STX3	STX3	novel_in_catalog	YES	8.47	16.93	0.0
PB.29239.8	Protein_PB.29239.8	STX3	STX3	incomplete-splice_match	YES	37.2	41.81	34.04
PB.29243.1		LOC113248877	LOC113248877	full-splice_match	NO	19.21	15.68	12.48
PB.29248.1	Protein_PB.29248.1	OSBP	OSBP	full-splice_match	YES	428.4	461.28	383.74
PB.29249.10	Protein_PB.29249.10	PATL1	PATL1	incomplete-splice_match	YES	84.56	73.54	71.33
PB.29249.3	Protein_PB.29249.3	PATL1	PATL1	novel_in_catalog	YES	38.47	35.32	46.38
PB.29249.6	Protein_PB.29249.6	PATL1	PATL1	novel_not_in_catalog	YES	17.19	32.15	27.06
PB.29249.9	Protein_PB.29249.9	PATL1	PATL1	novel_in_catalog	YES	85.45	66.19	66.26
PB.29253.1		LOC113248899	LOC113248899	incomplete-splice_match	NO	21.32	19.26	14.99
PB.29253.2		LOC113248899	LOC113248899	full-splice_match	NO	15.55	10.45	6.66
PB.29254.1	Protein_PB.29254.1	MRPL16	MRPL16	novel_in_catalog	YES	22.1	22.69	27.11
PB.29254.2	Protein_PB.29254.2	MRPL16	MRPL16	full-splice_match	YES	157.43	193.55	153.67
PB.29254.3	Protein_PB.29254.3	MRPL16	MRPL16	incomplete-splice_match	YES	18.41	21.21	24.76
PB.29254.4	Protein_PB.29254.4	MRPL16	MRPL16	novel_not_in_catalog	YES	52.42	53.84	28.53
PB.29260.1	Protein_PB.29260.1	PEG3	PEG3	full-splice_match	YES	351.69	386.46	396.89
PB.29260.2	Protein_PB.29260.2	PEG3	PEG3	incomplete-splice_match	YES	41.68	20.58	24.32
PB.2929.2	Protein_PB.2929.2	SP110	SP110	novel_in_catalog	YES	33.74	52.73	59.57
PB.2929.3	Protein_PB.2929.3	SP110	SP110	novel_in_catalog	YES	31.44	19.4	18.8
PB.29293.4	Protein_PB.29293.4	PARP2	PARP2	full-splice_match	YES	85.19	82.11	81.05
PB.29293.6	Protein_PB.29293.6	PARP2	PARP2	novel_in_catalog	YES	26.11	16.72	18.79
PB.29294.1	Protein_PB.29294.1	APEX1	APEX1	full-splice_match	YES	158.46	196.09	167.47
PB.29294.4	Protein_PB.29294.4	APEX1	APEX1	novel_in_catalog	YES	22.79	25.7	34.62
PB.29294.5	Protein_PB.29294.5	APEX1	APEX1	novel_in_catalog	YES	18.37	14.66	15.04
PB.29295.1	Protein_PB.29295.1	PNP	PNP	novel_in_catalog	YES	234.04	288.33	333.99
PB.29295.10	Protein_PB.29295.10	PNP	PNP	incomplete-splice_match	YES	883.96	1058.72	1490.59
PB.29295.2	Protein_PB.29295.2	PNP	PNP	novel_in_catalog	YES	29.03	15.29	34.22
PB.29295.4	Protein_PB.29295.4	PNP	PNP	novel_in_catalog	YES	33.17	41.68	32.04
PB.29295.5	Protein_PB.29295.5	PNP	PNP	novel_not_in_catalog	YES	97.83	97.2	111.15
PB.29295.6	Protein_PB.29295.6	PNP	PNP	novel_in_catalog	YES	51.53	66.09	44.45
PB.29295.7	Protein_PB.29295.7	PNP	PNP	full-splice_match	YES	280.35	299.83	359.5
PB.29295.8	Protein_PB.29295.8	PNP	PNP	full-splice_match	YES	108.65	57.14	29.28
PB.29295.9	Protein_PB.29295.9	PNP	PNP	novel_in_catalog	YES	137.98	128.84	130.79
PB.2930.1	Protein_PB.2930.1	SLC16A14	SLC16A14	full-splice_match	YES	35.91	44.64	36.11
PB.29300.2	Protein_PB.29300.2	TTC5	TTC5	full-splice_match	YES	18.84	20.74	36.85
PB.29300.3	Protein_PB.29300.3	TTC5	TTC5	full-splice_match	YES	14.56	12.49	7.83
PB.29300.4	Protein_PB.29300.4	TTC5	TTC5	novel_in_catalog	YES	27.91	33.2	37.46
PB.29303.7		LOC113248951	LOC113248951	full-splice_match	NO	28724.54	27719.44	14734.66
PB.29306.1	Protein_PB.29306.1	TEP1	TEP1	full-splice_match	YES	0.03	13.22	28.64
PB.29306.2	Protein_PB.29306.2	TEP1	TEP1	full-splice_match	YES	31.96	9.49	17.23
PB.29306.3	Protein_PB.29306.3	TEP1	TEP1	novel_not_in_catalog	YES	261.97	267.11	315.3
PB.29308.1	Protein_PB.29308.1	OSGEP	OSGEP	novel_in_catalog	YES	11.76	13.0	18.46
PB.29308.3	Protein_PB.29308.3	OSGEP	OSGEP	full-splice_match	YES	61.56	62.08	42.25
PB.29308.5	Protein_PB.29308.5	OSGEP	OSGEP	novel_in_catalog	YES	8.29	22.26	29.14
PB.29308.7	Protein_PB.29308.7	OSGEP	OSGEP	novel_in_catalog	YES	16.36	6.79	0.0
PB.29309.2	Protein_PB.29309.2	PIP4P1	PIP4P1	full-splice_match	YES	70.08	46.86	19.11
PB.2932.16	Protein_PB.2932.16	TRIP12	TRIP12	novel_not_in_catalog	YES	38.82	0.0	60.48
PB.2932.2	Protein_PB.2932.2	TRIP12	TRIP12	full-splice_match	YES	54.11	29.15	71.88
PB.2932.22	Protein_PB.2932.22	TRIP12	TRIP12	novel_not_in_catalog	YES	35.6	43.41	67.33
PB.2932.24	Protein_PB.2932.24	TRIP12	TRIP12	novel_not_in_catalog	YES	123.2	146.9	168.27
PB.2932.25	Protein_PB.2932.25	TRIP12	TRIP12	novel_not_in_catalog	YES	26.72	22.0	33.56
PB.2932.26	Protein_PB.2932.26	TRIP12	TRIP12	incomplete-splice_match	YES	811.76	798.76	675.98
PB.2932.27	Protein_PB.2932.27	TRIP12	TRIP12	novel_not_in_catalog	YES	37.09	48.48	61.25
PB.2932.28	Protein_PB.2932.28	TRIP12	TRIP12	novel_not_in_catalog	YES	176.37	148.46	183.78
PB.2932.3	Protein_PB.2932.3	TRIP12	TRIP12	full-splice_match	YES	49.01	89.08	29.65
PB.2932.30	Protein_PB.2932.30	TRIP12	TRIP12	incomplete-splice_match	YES	0.0	52.6	14.64
PB.2932.31	Protein_PB.2932.31	TRIP12	TRIP12	novel_in_catalog	YES	33.68	53.03	63.81
PB.2932.33	Protein_PB.2932.33	TRIP12	TRIP12	incomplete-splice_match	YES	101.29	84.54	76.26
PB.2932.34	Protein_PB.2932.34	TRIP12	TRIP12	novel_in_catalog	YES	86.47	90.09	97.65
PB.2932.4	Protein_PB.2932.4	TRIP12	TRIP12	full-splice_match	YES	57.13	19.18	9.54
PB.2932.7	Protein_PB.2932.7	TRIP12	TRIP12	full-splice_match	YES	57.36	133.2	65.56
PB.29324.1	Protein_PB.29324.1	CTR9	CTR9	novel_not_in_catalog	YES	42.9	27.43	26.55
PB.29324.2	Protein_PB.29324.2	CTR9	CTR9	full-splice_match	YES	259.31	307.81	304.73
PB.29324.3	Protein_PB.29324.3	CTR9	CTR9	incomplete-splice_match	YES	26.31	45.79	38.76
