




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
NEDD8 transferase activity (GO:0019788)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg8-specific protease activity (GO:0019786)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ISG15-specific protease activity (GO:0019785)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NEDD8-specific protease activity (GO:0019784)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein-specific protease activity (GO:0019783)	64	0	.55	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic specialization (GO:0098879)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
NEDD8 activating enzyme activity (GO:0019781)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FAT10 activating enzyme activity (GO:0019780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease inhibitor activity (GO:0060703)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetoacetate-CoA ligase activity (GO:0030729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Atg12 transferase activity (GO:0019777)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
low-affinity IgG receptor activity (GO:0019772)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
IgG receptor activity (GO:0019770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
type 5 metabotropic glutamate receptor binding (GO:0031802)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
type 3 metabotropic glutamate receptor binding (GO:0031800)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparin binding (GO:0008201)	58	0	.50	-	 < 0.01	1.00E00	1.00E00
GAF domain binding (GO:0036004)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ion channel inhibitor activity (GO:0008200)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
pre-mRNA binding (GO:0036002)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor activity (GO:0019763)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
C-C chemokine receptor activity (GO:0016493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sequence-specific single stranded DNA binding (GO:0098847)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA adenylyltransferase activity (GO:1990817)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
primary active transmembrane transporter activity (GO:0015399)	55	0	.48	-	 < 0.01	1.00E00	1.00E00
sulfate binding (GO:0043199)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
potassium:proton antiporter activity (GO:0015386)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch base pair DNA N-glycosylase activity (GO:0000700)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium:sulfate symporter activity (GO:0015382)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthase activity (GO:0009982)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 2 binding (GO:0043184)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 1 binding (GO:0043183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity (GO:0008894)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanine deaminase activity (GO:0008892)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BMP receptor activity (GO:0098821)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
interleukin-1 type II receptor antagonist activity (GO:0045353)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 type I receptor antagonist activity (GO:0045352)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium:chloride symporter activity (GO:0015379)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
sodium:chloride symporter activity (GO:0015378)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cation:chloride symporter activity (GO:0015377)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase inhibitor activity (GO:0055105)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine:sodium symporter activity (GO:0015375)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipase inhibitor activity (GO:0055102)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
cyclase activity (GO:0009975)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
anion:sodium symporter activity (GO:0015373)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
adiponectin binding (GO:0055100)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
solute:sodium symporter activity (GO:0015370)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
glycerate kinase activity (GO:0008887)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5-methyltetrahydrofolate-dependent methyltransferase activity (GO:0042084)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
15-oxoprostaglandin 13-oxidase activity (GO:0047522)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N6-isopentenyladenosine methylthiotransferase activity (GO:0035597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylthiotransferase activity (GO:0035596)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ganglioside binding (GO:0035594)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C-acetyltransferase activity (GO:0016453)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium:proton antiporter activity (GO:0015369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration (GO:1905056)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity (GO:0015368)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mercury ion binding (GO:0045340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
high-affinity sodium:dicarboxylate symporter activity (GO:0015362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
low-affinity sodium:dicarboxylate symporter activity (GO:0015361)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrite reductase activity (GO:0098809)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding (GO:0098808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
disordered domain specific binding (GO:0097718)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-acyltransferase activity (GO:0019707)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
methotrexate transmembrane transporter activity (GO:0015350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-myristoyltransferase activity (GO:0019705)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-methyl-lysine-20 demethylase activity (GO:0035575)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:0034485)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA cytidylyltransferase activity (GO:0016437)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine) methyltransferase activity (GO:0016436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparan sulfate sulfotransferase activity (GO:0034483)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine) methyltransferase activity (GO:0016434)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
unmethylated CpG binding (GO:0045322)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfotransferase activity (GO:0034481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transmembrane transporter activity (GO:0015349)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA-uridine aminocarboxypropyltransferase activity (GO:0016432)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N6-)-methyltransferase activity (GO:0016430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chemoattractant activity (GO:0042056)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease III activity (GO:0008853)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease I activity (GO:0008852)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (GO:0042054)	29	0	.25	-	 < 0.01	1.00E00	1.00E00
polydeoxyribonucleotide 5'-hydroxyl-kinase activity (GO:0046404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polynucleotide 3'-phosphatase activity (GO:0046403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N1-)-methyltransferase activity (GO:0016429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-5-)-methyltransferase activity (GO:0016428)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine) methyltransferase activity (GO:0016427)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine) methyltransferase activity (GO:0016426)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine) methyltransferase activity (GO:0016423)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
N,N-dimethylaniline monooxygenase activity (GO:0004499)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity (GO:0016422)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
monooxygenase activity (GO:0004497)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
malonyltransferase activity (GO:0016420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mevalonate kinase activity (GO:0004496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA helicase activity (GO:0043139)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA-specific ribonuclease activity (GO:0032296)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
methylglutaconyl-CoA hydratase activity (GO:0004490)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurexin family protein binding (GO:0042043)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein phosphorylated amino acid binding (GO:0045309)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
S-malonyltransferase activity (GO:0016419)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
S-acetyltransferase activity (GO:0016418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
S-acyltransferase activity (GO:0016417)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
O-palmitoyltransferase activity (GO:0016416)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
octanoyltransferase activity (GO:0016415)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
O-octanoyltransferase activity (GO:0016414)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
O-acetyltransferase activity (GO:0016413)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cystine secondary active transmembrane transporter activity (GO:0015328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acylglycerol O-acyltransferase activity (GO:0016411)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
cystine:glutamate antiporter activity (GO:0015327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acyltransferase activity (GO:0016410)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity (GO:0004486)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA guanylyltransferase activity (GO:0004484)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA (nucleoside-2'-O-)-methyltransferase activity (GO:0004483)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molecular transducer activity (GO:0060089)	225	0	1.95	-	 < 0.01	2.65E-01	1.00E00
fatty acid elongase activity (GO:0009922)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ErbB-3 class receptor binding (GO:0043125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neurotrophin binding (GO:0043121)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dGTPase activity (GO:0008832)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor activity (GO:0042030)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-5' RNA helicase activity (GO:0034458)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase activity (GO:0016409)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
C-acyltransferase activity (GO:0016408)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activity (GO:0016407)	49	0	.42	-	 < 0.01	1.00E00	1.00E00
carnitine O-acyltransferase activity (GO:0016406)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
CoA-ligase activity (GO:0016405)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
dynactin binding (GO:0034452)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NAD+) activity (GO:0016404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dimethylargininase activity (GO:0016403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA formyltransferase activity (GO:0004479)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-ubiquitin ligase activity (GO:0034450)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
inorganic molecular entity transmembrane transporter activity (GO:0015318)	159	0	1.38	-	 < 0.01	6.48E-01	1.00E00
methionine adenosyltransferase activity (GO:0004478)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pristanoyl-CoA oxidase activity (GO:0016402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA oxidase activity (GO:0016401)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organophosphate:inorganic phosphate antiporter activity (GO:0015315)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
malate synthase activity (GO:0004474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
18S rRNA aminocarboxypropyltransferase activity (GO:0106388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
malic enzyme activity (GO:0004470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity (GO:0106386)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cupric reductase activity (GO:0008823)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
crossover junction endodeoxyribonuclease activity (GO:0008821)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate response element binding (GO:0035538)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid-CoA ligase activity (GO:0004467)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
long-chain-acyl-CoA dehydrogenase activity (GO:0004466)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lipoprotein lipase activity (GO:0004465)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
anion:anion antiporter activity (GO:0015301)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lactose synthase activity (GO:0004461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cob(I)yrinic acid a,c-diamide adenosyltransferase activity (GO:0008817)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-hydroxyphytanoyl-CoA lyase activity (GO:0106376)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside triphosphate hydrolase activity (GO:0106375)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine binding (GO:0031177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-deoxyglucosone dehydrogenase activity (GO:0106373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
choline dehydrogenase activity (GO:0008812)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-20 binding (GO:0042015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-L-histidine N-pros-methyltransferase activity (GO:0106370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH pyrophosphatase activity (GO:0035529)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
interleukin-15 receptor activity (GO:0042010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid transporter activity (GO:0005548)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol binding (GO:0005545)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipid binding (GO:0005544)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
folic acid binding (GO:0005542)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-actinin binding (GO:0051393)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
lactate dehydrogenase activity (GO:0004457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hyaluronic acid binding (GO:0005540)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cardiolipin synthase activity (GO:0008808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity (GO:0106364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-cysteine methyltransferase activity (GO:0106363)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
betaine-aldehyde dehydrogenase activity (GO:0008802)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-lactamase activity (GO:0008800)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-hydroxy-3-methylhexadecanoyl-CoA lyase activity (GO:0106360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide-glutamate-N-acetyltransferase activity (GO:1990190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidative DNA demethylase activity (GO:0035516)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylase activity (GO:0035515)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA demethylase activity (GO:0035514)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transmembrane transporter activity (GO:0000099)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan binding (GO:0005539)	72	0	.62	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor activity (GO:0001181)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mannose binding (GO:0005537)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glucose binding (GO:0005536)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
galactose binding (GO:0005534)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase activity (GO:0004448)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
iodide peroxidase activity (GO:0004447)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
endopeptidase regulator activity (GO:0061135)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
steryl-beta-glucosidase activity (GO:0050295)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidase regulator activity (GO:0061134)	60	0	.52	-	 < 0.01	1.00E00	1.00E00
2-hydroxyacyl-CoA lyase activity (GO:0106359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endopeptidase activator activity (GO:0061133)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide-serine-N-acetyltransferase activity (GO:1990189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingosine N-acyltransferase activity (GO:0050291)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase D activity (GO:0050290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I general transcription initiation factor binding (GO:0001179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K79 specific) (GO:0031151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-malate dehydrogenase activity (GO:0030060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FK506 binding (GO:0005528)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
MH2 domain binding (GO:0035500)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macrolide binding (GO:0005527)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
epinephrine binding (GO:0051379)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mannose-ethanolamine phosphotransferase activity (GO:0051377)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane targeting sequence binding (GO:0033328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tropomyosin binding (GO:0005523)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
profilin binding (GO:0005522)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphatase activity (GO:0004438)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
lamin binding (GO:0005521)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
FATZ binding (GO:0051373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding (GO:0005520)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
muscle alpha-actinin binding (GO:0051371)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phospholipase C activity (GO:0004435)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol 4-kinase activity (GO:0004430)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
snRNA methyltransferase activity (GO:0106346)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase activity (GO:0106345)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EH domain binding (GO:1990175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphodiesterase decapping endonuclease activity (GO:1990174)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I cis-regulatory region sequence-specific DNA binding (GO:0001165)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoskeletal regulatory protein binding (GO:0005519)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen binding (GO:0005518)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphatase activity (GO:0004427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
