




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
negative regulation of ERAD pathway (GO:1904293)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of ERAD pathway (GO:1904292)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
protein localization to non-motile cilium (GO:0097499)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic DNA damage checkpoint (GO:1904291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial tube lumen extension (GO:0097498)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic DNA damage checkpoint (GO:1904290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to histamine (GO:0034776)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transport (GO:0034775)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron axon guidance (GO:0097492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection guidance (GO:0097491)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection extension (GO:0097490)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 trimethylation (GO:0034773)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 dimethylation (GO:0034772)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basal dendrite morphogenesis (GO:0150019)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 methylation (GO:0034770)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
basal dendrite development (GO:0150018)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron projection arborization (GO:0150012)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of neuron projection arborization (GO:0150011)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic DNA damage checkpoint (GO:1904289)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basement membrane disassembly (GO:0034769)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuron projection guidance (GO:0097485)	57	0	.49	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transport (GO:0034767)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
dendrite extension (GO:0097484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transport (GO:0034766)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transport (GO:0034765)	107	0	.93	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmembrane transport (GO:0034764)	58	0	.50	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmembrane transport (GO:0034763)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transmembrane transport (GO:0034760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-dependent synaptic vesicle endocytosis (GO:0150007)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of spontaneous synaptic transmission (GO:0150003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation by virus of viral protein levels in host cell (GO:0046726)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation by virus of viral protein levels in host cell (GO:0046725)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction assembly (GO:1904274)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxalic acid secretion (GO:0046724)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-alanine import across plasma membrane (GO:1904273)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle localization (GO:0097479)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
L-proline import across plasma membrane (GO:1904271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lactic acid secretion (GO:0046722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transport (GO:0034759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
motor neuron migration (GO:0097475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal cone cell apoptotic process (GO:0097474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transport (GO:0034757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal rod cell apoptotic process (GO:0097473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transport (GO:0034756)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular hormone metabolic process (GO:0034754)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin catabolic process (GO:0042363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin E metabolic process (GO:0042360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane disassembly (GO:0030397)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
fructosamine catabolic process (GO:0030392)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation by virus of viral protein levels in host cell (GO:0046719)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
viral entry into host cell (GO:0046718)	40	0	.35	-	 < 0.01	1.00E00	1.00E00
acid secretion (GO:0046717)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
muscle cell cellular homeostasis (GO:0046716)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
GDP catabolic process (GO:0046712)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
programmed cell death in response to reactive oxygen species (GO:0097468)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin D metabolic process (GO:0042359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-fucose catabolic process (GO:0042355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-fucose metabolic process (GO:0042354)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose biosynthetic process (GO:0042350)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fructosamine metabolic process (GO:0030389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrion organization (GO:0030382)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of bile acid metabolic process (GO:1904252)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of bile acid metabolic process (GO:1904251)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
keratan sulfate catabolic process (GO:0042340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquinone biosynthetic process (GO:0010795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA export from nucleus (GO:0010793)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
keratan sulfate metabolic process (GO:0042339)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
polyprenol catabolic process (GO:0016095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-K79 methylation (GO:0034729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleosome organization (GO:0034728)	57	0	.49	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA replication-independent chromatin organization (GO:0034724)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA replication-dependent chromatin organization (GO:0034723)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation, trimethyl-H3-K4-specific (GO:0034721)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation (GO:0034720)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
pericyte cell differentiation (GO:1904238)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	165	0	1.43	-	 < 0.01	4.04E-01	1.00E00
synaptic vesicle priming (GO:0016082)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle docking (GO:0016081)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA catabolic process (GO:0016078)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA catabolic process (GO:0016077)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
snRNA catabolic process (GO:0016076)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	35	0	.30	-	 < 0.01	1.00E00	1.00E00
regulation of serine C-palmitoyltransferase activity (GO:1904220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA metabolic process (GO:0016074)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	126	0	1.09	-	 < 0.01	6.28E-01	1.00E00
liver regeneration (GO:0097421)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
vasodilation (GO:0042311)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
vasoconstriction (GO:0042310)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis involved in differentiation (GO:0010769)	41	0	.36	-	 < 0.01	1.00E00	1.00E00
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010768)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transport (GO:0010765)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast migration (GO:0010764)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast migration (GO:0010763)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast migration (GO:0010762)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
fibroblast migration (GO:0010761)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein import into nucleus (GO:0042308)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
immunoglobulin mediated immune response (GO:0016064)	29	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid biosynthetic process (GO:0042304)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-1alpha signaling pathway (GO:0097411)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molting cycle (GO:0042303)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration (GO:0030336)	99	0	.86	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell migration (GO:0030335)	204	0	1.77	-	 < 0.01	4.22E-01	1.00E00
regulation of cell migration (GO:0030334)	345	0	2.99	-	 < 0.01	1.21E-01	1.00E00
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage chemotaxis (GO:0010759)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage chemotaxis (GO:0010758)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasminogen activation (GO:0010757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasminogen activation (GO:0010756)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of plasminogen activation (GO:0010755)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cGMP-mediated signaling (GO:0010754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cGMP-mediated signaling (GO:0010753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cGMP-mediated signaling (GO:0010752)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iodide transmembrane transport (GO:1904200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway (GO:0016055)	104	0	.90	-	 < 0.01	1.00E00	1.00E00
carbohydrate catabolic process (GO:0016052)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
carbohydrate biosynthetic process (GO:0016051)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
cellular response to raffinose (GO:0097403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-17-mediated signaling pathway (GO:0097400)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
prenylated protein catabolic process (GO:0030327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenal gland development (GO:0030325)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
lung development (GO:0030324)	68	0	.59	-	 < 0.01	1.00E00	1.00E00
stabilization of membrane potential (GO:0030322)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transepithelial chloride transport (GO:0030321)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic anion homeostasis (GO:0030320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide mediated signal transduction (GO:0010749)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of long-chain fatty acid import across plasma membrane (GO:0010747)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cell growth (GO:0016049)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage derived foam cell differentiation (GO:0010743)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus (GO:0016048)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
macrophage derived foam cell differentiation (GO:0010742)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of bacterium (GO:0016045)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
melanocyte differentiation (GO:0030318)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
flagellated sperm motility (GO:0030317)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
osteoclast differentiation (GO:0030316)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine biosynthetic process (GO:0030311)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase A signaling (GO:0010738)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protein kinase A signaling (GO:0010737)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription via serum response element binding (GO:0010735)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein glutathionylation (GO:0010734)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein glutathionylation (GO:0010732)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to phosphate starvation (GO:0016036)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
memory T cell proliferation (GO:0061485)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell homeostasis (GO:0061484)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA import into mitochondrion (GO:0016031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine metabolic process (GO:0030309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell growth (GO:0030307)	62	0	.54	-	 < 0.01	1.00E00	1.00E00
cholesterol transport (GO:0030301)	32	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of intestinal cholesterol absorption (GO:0030300)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide biosynthetic process (GO:0010729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of definitive erythrocyte differentiation (GO:0010724)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell development (GO:0010720)	107	0	.93	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
T follicular helper cell differentiation (GO:0061470)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial to mesenchymal transition (GO:0010719)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial to mesenchymal transition (GO:0010718)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial to mesenchymal transition (GO:0010717)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix disassembly (GO:0010716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix disassembly (GO:0010715)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen metabolic process (GO:0010714)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen metabolic process (GO:0010713)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell proliferation (GO:0061469)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of collagen metabolic process (GO:0010712)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of collagen catabolic process (GO:0010710)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of inorganic anion transmembrane transport (GO:1903797)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inorganic anion transmembrane transport (GO:1903795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to lysosome (GO:0061462)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of anion transport (GO:1903793)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transport (GO:1903792)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transport (GO:1903790)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycolysis from storage polysaccharide through glucose-1-phosphate (GO:0093001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
globoside biosynthetic process via lactosylceramide (GO:0010707)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid transmembrane transport (GO:1903789)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of norepinephrine secretion (GO:0010701)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione biosynthetic process (GO:1903788)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of norepinephrine secretion (GO:0010700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
connective tissue development (GO:0061448)	69	0	.60	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac conduction (GO:1903779)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to vacuolar membrane (GO:1903778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell fate commitment (GO:0061445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell development (GO:0061444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA double-strand break processing (GO:1903775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell differentiation (GO:0061443)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral budding via host ESCRT complex (GO:1903774)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
renal artery morphogenesis (GO:0061441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of viral budding via host ESCRT complex (GO:1903772)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kidney vasculature development (GO:0061440)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of beta-galactosidase activity (GO:1903771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of beta-galactosidase activity (GO:1903770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
kidney vasculature morphogenesis (GO:0061439)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
gene silencing by miRNA (GO:0035195)	32	0	.28	-	 < 0.01	1.00E00	1.00E00
renal system vasculature morphogenesis (GO:0061438)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
post-transcriptional gene silencing by RNA (GO:0035194)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
renal system vasculature development (GO:0061437)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
establishment of skin barrier (GO:0061436)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion export across plasma membrane (GO:1903766)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion export across plasma membrane (GO:1903764)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to caloric restriction (GO:0061433)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bone trabecula morphogenesis (GO:0061430)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hatching (GO:0035188)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903751)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of RIG-I signaling pathway (GO:0039536)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of RIG-I signaling pathway (GO:0039535)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of MDA-5 signaling pathway (GO:0039534)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
social behavior (GO:0035176)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization to mitochondrion (GO:1903748)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
