




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
proteasome core complex, beta-subunit complex (GO:0019774)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonuclease H2 complex (GO:0032299)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum membrane (GO:0033017)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear cohesin complex (GO:0000798)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex (GO:0000795)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome (GO:0000794)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
condensed chromosome (GO:0000793)	108	0	1.27	-	 < 0.01	6.38E-01	1.00E00
oligosaccharyltransferase complex (GO:0008250)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor complex (GO:0032281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxisomal importomer complex (GO:1990429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase complex (GO:0009331)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GLI-SUFU complex (GO:1990788)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RZZ complex (GO:1990423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	54	0	.63	-	 < 0.01	1.00E00	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ISGF3 complex (GO:0070721)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleosome (GO:0000786)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome membrane (GO:0000421)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle (GO:1990777)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	72	0	.84	-	 < 0.01	1.00E00	1.00E00
kinetochore (GO:0000776)	66	0	.77	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric region (GO:0000775)	100	0	1.17	-	 < 0.01	6.32E-01	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	35	0	.41	-	 < 0.01	1.00E00	1.00E00
proximal neuron projection (GO:1990769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane raft (GO:0044853)	37	0	.43	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
integral component of vacuolar membrane (GO:0031166)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule end (GO:1990752)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane transporter complex (GO:1902495)	61	0	.71	-	 < 0.01	1.00E00	1.00E00
host cellular component (GO:0018995)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
site of double-strand break (GO:0035861)	35	0	.41	-	 < 0.01	1.00E00	1.00E00
secretory granule lumen (GO:0034774)	127	0	1.49	-	 < 0.01	4.06E-01	1.00E00
EARP complex (GO:1990745)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
myosin complex (GO:0016459)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
PAR polarity complex (GO:0120157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial tricarboxylic acid cycle enzyme complex (GO:0030062)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pseudopodium (GO:0031143)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
titin-telethonin complex (GO:1990733)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
hemidesmosome (GO:0030056)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RISC complex (GO:0016442)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane (GO:0032588)	40	0	.47	-	 < 0.01	1.00E00	1.00E00
ruffle membrane (GO:0032587)	45	0	.53	-	 < 0.01	1.00E00	1.00E00
multivesicular body membrane (GO:0032585)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna membrane (GO:0032580)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
TTT complex (GO:0110078)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lsm1-7-Pat1 complex (GO:1990726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor complex (GO:0034751)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Scrib-APC-beta-catenin complex (GO:0034750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DAPK1-calmodulin complex (GO:1990722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actomyosin (GO:0042641)	38	0	.45	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA packaging complex (GO:0044815)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, base subcomplex (GO:0008540)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
growing cell tip (GO:0035838)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule end (GO:1905721)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule bundle (GO:1905720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HFE-transferrin receptor complex (GO:1990712)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
Ski complex (GO:0055087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-catenin-ICAT complex (GO:1990711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin V complex (GO:0031475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chylomicron (GO:0042627)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
MAD1 complex (GO:1990706)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment membrane (GO:0042622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lamellipodium (GO:0030027)	88	0	1.03	-	 < 0.01	6.28E-01	1.00E00
host cell part (GO:0033643)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lsm2-8 complex (GO:0120115)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Sm-like protein family complex (GO:0120114)	38	0	.45	-	 < 0.01	1.00E00	1.00E00
neuron projection cytoplasm (GO:0120111)	40	0	.47	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase complex (GO:0048269)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
septin complex (GO:0031105)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
Cul7-RING ubiquitin ligase complex (GO:0031467)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Cul5-RING ubiquitin ligase complex (GO:0031466)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
Cul2-RING ubiquitin ligase complex (GO:0031462)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex (GO:0042613)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex (GO:0042612)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC protein complex (GO:0042611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT core complex (GO:0030015)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT complex (GO:0030014)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
CURI complex (GO:0032545)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cortical endoplasmic reticulum (GO:0032541)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
SMN-Sm protein complex (GO:0034719)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
pICln-Sm protein complex (GO:0034715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPP complex (GO:0030008)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic density membrane (GO:0099146)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic membrane (GO:0099144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylosome (GO:0034709)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
chloride channel complex (GO:0034707)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
sodium channel complex (GO:0034706)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
potassium channel complex (GO:0034705)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
calcium channel complex (GO:0034704)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
cation channel complex (GO:0034703)	27	0	.32	-	 < 0.01	1.00E00	1.00E00
ion channel complex (GO:0034702)	39	0	.46	-	 < 0.01	1.00E00	1.00E00
collagen type XIV trimer (GO:0005596)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XII trimer (GO:0005595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor complex (GO:1903503)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
FACIT collagen trimer (GO:0005593)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type XI trimer (GO:0005592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum lumen (GO:0048237)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase complex (GO:1904949)	61	0	.71	-	 < 0.01	1.00E00	1.00E00
B-WICH complex (GO:0110016)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
BRCA1-BARD1 complex (GO:0031436)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
recycling endosome membrane (GO:0055038)	29	0	.34	-	 < 0.01	1.00E00	1.00E00
M band (GO:0031430)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
collagen type VI trimer (GO:0005589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type V trimer (GO:0005588)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type III trimer (GO:0005586)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperone complex (GO:0101031)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
collagen type I trimer (GO:0005584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibrillar collagen trimer (GO:0005583)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulator complex (GO:0090576)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex (GO:0031429)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
box C/D RNP complex (GO:0031428)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase complex (GO:0009923)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle (GO:0070081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	53	0	.62	-	 < 0.01	1.00E00	1.00E00
RecQ family helicase-topoisomerase III complex (GO:0031422)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cortical microtubule (GO:0055028)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amphisome membrane (GO:1904930)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
membrane attack complex (GO:0005579)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
fibrinogen complex (GO:0005577)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
chromosome, subtelomeric region (GO:0099115)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc2p-Noc3p complex (GO:0030691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc1p-Noc2p complex (GO:0030690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CMG complex (GO:0071162)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NatC complex (GO:0031417)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NatB complex (GO:0031416)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NatA complex (GO:0031415)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
Noc complex (GO:0030689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
preribosome, small subunit precursor (GO:0030688)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
preribosome, large subunit precursor (GO:0030687)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
90S preribosome (GO:0030686)	19	0	.22	-	 < 0.01	1.00E00	1.00E00
ERBB3:ERBB2 complex (GO:0038143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NF-kappaB complex (GO:0071159)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
preribosome (GO:0030684)	46	0	.54	-	 < 0.01	1.00E00	1.00E00
multimeric ribonuclease P complex (GO:0030681)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytochrome complex (GO:0070069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytolytic granule membrane (GO:0101004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	23	0	.27	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule (GO:0101002)	75	0	.88	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribonuclease P complex (GO:0030678)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonuclease P complex (GO:0030677)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
axolemma (GO:0030673)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle membrane (GO:0030670)	32	0	.37	-	 < 0.01	1.00E00	1.00E00
dendritic filopodium (GO:1902737)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
homomeric SMAD protein complex (GO:0071142)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex (GO:0062167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
Flemming body (GO:0090543)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
box H/ACA scaRNP complex (GO:0072589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle membrane (GO:0030669)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
secretory granule membrane (GO:0030667)	109	0	1.28	-	 < 0.01	6.39E-01	1.00E00
endocytic vesicle membrane (GO:0030666)	63	0	.74	-	 < 0.01	1.00E00	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
coated vesicle membrane (GO:0030662)	64	0	.75	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle membrane (GO:0030660)	24	0	.28	-	 < 0.01	1.00E00	1.00E00
dendrite cytoplasm (GO:0032839)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	69	0	.81	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP-gated potassium channel complex (GO:0062157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CERF complex (GO:0090537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
WICH complex (GO:0090535)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium ion-transporting ATPase complex (GO:0090534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cation-transporting ATPase complex (GO:0090533)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
catalase complex (GO:0062151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fumarate reductase complex (GO:0045283)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (GO:0045281)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoophidium (GO:0097268)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic reticulum (GO:0044195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytolytic granule (GO:0044194)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
insulin receptor complex (GO:0005899)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor complex (GO:0005896)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor complex (GO:0005895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated channel complex (GO:0005892)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel complex (GO:0005891)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV (GO:0045277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III (GO:0045275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II (GO:0045273)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex I (GO:0045271)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
R2TP complex (GO:0097255)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription export complex 2 (GO:0070390)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
endothelial microparticle (GO:0072563)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
blood microparticle (GO:0072562)	42	0	.49	-	 < 0.01	1.00E00	1.00E00
Arp2/3 protein complex (GO:0005885)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
actin filament (GO:0005884)	39	0	.46	-	 < 0.01	1.00E00	1.00E00
neurofilament (GO:0005883)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
intermediate filament (GO:0005882)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule (GO:0005881)	30	0	.35	-	 < 0.01	1.00E00	1.00E00
nuclear microtubule (GO:0005880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
dopaminergic synapse (GO:0098691)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
glycinergic synapse (GO:0098690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta ligand-receptor complex (GO:0070021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule (GO:0005879)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spindle microtubule (GO:0005876)	41	0	.48	-	 < 0.01	1.00E00	1.00E00
microtubule associated complex (GO:0005875)	59	0	.69	-	 < 0.01	1.00E00	1.00E00
plus-end kinesin complex (GO:0005873)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kinesin complex (GO:0005871)	18	0	.21	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B (GO:0030992)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
neuronal cell body membrane (GO:0032809)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A (GO:0030991)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptic cleft (GO:0043083)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle (GO:0030990)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
DNA ligase IV complex (GO:0032807)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber to CA3 synapse (GO:0098686)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (ubiquinone) (GO:0045257)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
small ribosomal subunit (GO:0015935)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
Schaffer collateral - CA1 synapse (GO:0098685)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
large ribosomal subunit (GO:0015934)	46	0	.54	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
periciliary membrane compartment (GO:1990075)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
electron transfer flavoprotein complex (GO:0045251)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPPIII protein complex (GO:1990072)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
TRAPPII protein complex (GO:1990071)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPPI protein complex (GO:1990070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm cytoplasmic droplet (GO:0097598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body membrane (GO:0097233)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EMC complex (GO:0072546)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
lamellar body membrane (GO:0097232)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dynactin complex (GO:0005869)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
cytoplasmic dynein complex (GO:0005868)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
Rb-E2F complex (GO:0035189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle thin filament (GO:0005865)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
