




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
stearic acid binding (GO:0070540)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquinone binding (GO:0048039)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
quinone binding (GO:0048038)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
aminobutyraldehyde dehydrogenase activity (GO:0019145)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ADP-sugar diphosphatase activity (GO:0019144)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sulfur dioxygenase activity (GO:0050313)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
disaccharide binding (GO:0048030)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
small molecule sensor activity (GO:0140299)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
general transcription initiation factor binding (GO:0140296)	34	0	.97	-	 < 0.01	1.00E00	1.00E00
linoleic acid binding (GO:0070539)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oleic acid binding (GO:0070538)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD DNA ADP-ribosyltransferase activity (GO:0140294)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ADP-ribosylglutamate hydrolase activity (GO:0140293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
PH domain binding (GO:0042731)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase activity (GO:0000104)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acylmannosamine kinase activity (GO:0009384)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-UTR binding (GO:0048027)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sugar-terminal-phosphatase activity (GO:0050309)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sugar-phosphatase activity (GO:0050308)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside kinase activity (GO:0019136)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine monooxygenase activity (GO:0019135)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CCR chemokine receptor binding (GO:0048020)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
membrane insertase activity (GO:0032977)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
microtubule plus end polymerase (GO:0061863)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
four-way junction helicase activity (GO:0009378)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
methylarsonite methyltransferase activity (GO:0030792)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arsenite methyltransferase activity (GO:0030791)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
receptor antagonist activity (GO:0048019)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
biotin binding (GO:0009374)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ribitol beta-1,4-xylosyltransferase activity (GO:0120053)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor activity (GO:0008281)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleotide-sugar transmembrane transporter activity (GO:0036080)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
exogenous protein binding (GO:0140272)	29	0	.83	-	 < 0.01	1.00E00	1.00E00
proteinase activated receptor binding (GO:0031871)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
thromboxane A2 receptor binding (GO:0031870)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidised low-density lipoprotein particle receptor activity (GO:0150025)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
catecholamine binding (GO:1901338)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase [NAD(P)+] activity (GO:0019115)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
telomeric G-quadruplex DNA binding (GO:0061849)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium, potassium:sodium antiporter activity (GO:0008273)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
secondary active sulfate transmembrane transporter activity (GO:0008271)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor activity (GO:0070506)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
prostanoid receptor binding (GO:0031862)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex binding (GO:0140262)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
netrin receptor binding (GO:1990890)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0001888)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
purine nucleoside binding (GO:0001883)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleoside binding (GO:0001882)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
JAK pathway signal transduction adaptor activity (GO:0008269)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myristoyltransferase activity (GO:0019107)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
poly(U) RNA binding (GO:0008266)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor sulfurase activity (GO:0008265)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA N-glycosylase activity (GO:0019104)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase binding (GO:0050998)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine-specific mismatch base pair DNA N-glycosylase activity (GO:0008263)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide binding (GO:0019103)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group binding (GO:0050997)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
3-oxoacid CoA-transferase activity (GO:0008260)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
H4K20me3 modified histone binding (GO:1990889)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor binding (GO:0031859)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neuroligin family protein binding (GO:0097109)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hedgehog family protein binding (GO:0097108)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mu-type opioid receptor binding (GO:0031852)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
supercoiled DNA binding (GO:0097100)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide immune receptor activity (GO:0001875)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cholesterol transfer activity (GO:0120020)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
protein-succinyllysine desuccinylase activity (GO:0036055)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine deaminase activity (GO:0008251)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
protein-malonyllysine demalonylase activity (GO:0036054)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol binding (GO:0032934)	34	0	.97	-	 < 0.01	1.00E00	1.00E00
telomeric D-loop binding (GO:0061821)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
5'-deoxynucleotidase activity (GO:0002953)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leukotriene-C(4) hydrolase (GO:0002951)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ceramide phosphoethanolamine synthase activity (GO:0002950)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine transfer activity (GO:0120019)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ceramide transfer activity (GO:0120017)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sphingolipid transfer activity (GO:0120016)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sterol transfer activity (GO:0120015)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
adenyl-nucleotide exchange factor activity (GO:0000774)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-methylethanolamine N-methyltransferase activity (GO:0000773)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
telomerase inhibitor activity (GO:0010521)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acyl-CoA binding (GO:0036042)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cyclic ADP-ribose hydrolase (GO:0061812)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ADP-ribosyl cyclase activity (GO:0061811)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein binding (GO:0030742)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleotidase, cyclic ADP-ribose generating (GO:0061809)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
tubulin N-acetyltransferase activity (GO:0019799)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
procollagen-proline dioxygenase activity (GO:0019798)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 3-dioxygenase activity (GO:0019797)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mediator complex binding (GO:0036033)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
type 2A serotonin receptor binding (GO:0031826)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
structural constituent of presynaptic active zone (GO:0098882)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor binding (GO:0031821)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
carnosine N-methyltransferase activity (GO:0030735)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled amine receptor activity (GO:0008227)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
SUMO transferase activity (GO:0019789)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
NEDD8 transferase activity (GO:0019788)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
Atg8-specific protease activity (GO:0019786)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ISG15-specific protease activity (GO:0019785)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic specialization (GO:0098879)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ISG15 activating enzyme activity (GO:0019782)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NEDD8 activating enzyme activity (GO:0019781)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
FAT10 activating enzyme activity (GO:0019780)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease inhibitor activity (GO:0060703)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetoacetate-CoA ligase activity (GO:0030729)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
promoter-specific chromatin binding (GO:1990841)	37	0	1.06	-	 < 0.01	6.26E-01	1.00E00
P2Y1 nucleotide receptor binding (GO:0031812)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled nucleotide receptor binding (GO:0031811)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg8 activating enzyme activity (GO:0019779)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg12 activating enzyme activity (GO:0019778)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg12 transferase activity (GO:0019777)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
low-affinity IgG receptor activity (GO:0019772)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IgG receptor activity (GO:0019770)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
type 5 metabotropic glutamate receptor binding (GO:0031802)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
type 3 metabotropic glutamate receptor binding (GO:0031800)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GAF domain binding (GO:0036004)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pre-mRNA binding (GO:0036002)	25	0	.71	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor activity (GO:0019763)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
3-dehydrosphinganine reductase activity (GO:0047560)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-C chemokine receptor activity (GO:0016493)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
C3HC4-type RING finger domain binding (GO:0055131)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
(R,R)-butanediol dehydrogenase activity (GO:0000721)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sequence-specific single stranded DNA binding (GO:0098847)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
RNA adenylyltransferase activity (GO:1990817)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
sulfate binding (GO:0043199)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
potassium:proton antiporter activity (GO:0015386)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
purine-specific mismatch base pair DNA N-glycosylase activity (GO:0000701)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mismatch base pair DNA N-glycosylase activity (GO:0000700)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 3 binding (GO:0043185)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthase activity (GO:0009982)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 2 binding (GO:0043184)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 1 binding (GO:0043183)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity (GO:0008894)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (GO:0008893)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
BMP receptor activity (GO:0098821)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
potassium:chloride symporter activity (GO:0015379)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sodium:chloride symporter activity (GO:0015378)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase inhibitor activity (GO:0055105)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cation:chloride symporter activity (GO:0015377)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	43	0	1.23	-	 < 0.01	6.33E-01	1.00E00
cyclase activity (GO:0009975)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
lipase inhibitor activity (GO:0055102)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
anion:sodium symporter activity (GO:0015373)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
adiponectin binding (GO:0055100)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
amine binding (GO:0043176)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerophosphodiester phosphodiesterase activity (GO:0008889)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905060)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
solute:sodium symporter activity (GO:0015370)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
5-methyltetrahydrofolate-dependent methyltransferase activity (GO:0042084)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
15-oxoprostaglandin 13-oxidase activity (GO:0047522)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N6-isopentenyladenosine methylthiotransferase activity (GO:0035597)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylthiotransferase activity (GO:0035596)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
signaling adaptor activity (GO:0035591)	45	0	1.29	-	 < 0.01	6.37E-01	1.00E00
P-type calcium transporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905059)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-palmitoyltransferase activity (GO:0016454)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
C-acetyltransferase activity (GO:0016453)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration (GO:1905056)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity (GO:0015368)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mercury ion binding (GO:0045340)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nitrite reductase activity (GO:0098809)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding (GO:0098808)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
disordered domain specific binding (GO:0097718)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-acyltransferase activity (GO:0019707)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
methotrexate transmembrane transporter activity (GO:0015350)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-myristoyltransferase activity (GO:0019705)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
fructokinase activity (GO:0008865)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4-methyl-lysine-20 demethylase activity (GO:0035575)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:0034485)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA cytidylyltransferase activity (GO:0016437)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine) methyltransferase activity (GO:0016436)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
heparan sulfate sulfotransferase activity (GO:0034483)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
unmethylated CpG binding (GO:0045322)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine) methyltransferase activity (GO:0016434)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfotransferase activity (GO:0034481)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transmembrane transporter activity (GO:0015349)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
tRNA-uridine aminocarboxypropyltransferase activity (GO:0016432)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N6-)-methyltransferase activity (GO:0016430)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chemoattractant activity (GO:0042056)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease III activity (GO:0008853)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease I activity (GO:0008852)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polydeoxyribonucleotide 5'-hydroxyl-kinase activity (GO:0046404)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
polynucleotide 3'-phosphatase activity (GO:0046403)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N1-)-methyltransferase activity (GO:0016429)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-5-)-methyltransferase activity (GO:0016428)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine) methyltransferase activity (GO:0016427)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine) methyltransferase activity (GO:0016426)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine) methyltransferase activity (GO:0016423)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
N,N-dimethylaniline monooxygenase activity (GO:0004499)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity (GO:0016422)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
CoA carboxylase activity (GO:0016421)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
monooxygenase activity (GO:0004497)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
malonyltransferase activity (GO:0016420)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mevalonate kinase activity (GO:0004496)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA helicase activity (GO:0043139)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA-specific ribonuclease activity (GO:0032296)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
methylglutaconyl-CoA hydratase activity (GO:0004490)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurexin family protein binding (GO:0042043)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
protein phosphorylated amino acid binding (GO:0045309)	28	0	.80	-	 < 0.01	1.00E00	1.00E00
S-malonyltransferase activity (GO:0016419)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
O-palmitoyltransferase activity (GO:0016416)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
octanoyltransferase activity (GO:0016415)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
O-octanoyltransferase activity (GO:0016414)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
O-acetyltransferase activity (GO:0016413)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acyltransferase activity (GO:0016410)	49	0	1.40	-	 < 0.01	6.47E-01	1.00E00
methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity (GO:0004486)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA guanylyltransferase activity (GO:0004484)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA (nucleoside-2'-O-)-methyltransferase activity (GO:0004483)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase activity (GO:0009922)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ErbB-3 class receptor binding (GO:0043125)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotrophin binding (GO:0043121)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor binding (GO:0043120)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dGTPase activity (GO:0008832)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor activity (GO:0042030)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3'-5' RNA helicase activity (GO:0034458)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase activity (GO:0016409)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
C-acyltransferase activity (GO:0016408)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
carnitine O-acyltransferase activity (GO:0016406)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
dimethylargininase activity (GO:0016403)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA formyltransferase activity (GO:0004479)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-ubiquitin ligase activity (GO:0034450)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase activity (GO:0004478)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pristanoyl-CoA oxidase activity (GO:0016402)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA oxidase activity (GO:0016401)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mannose-6-phosphate isomerase activity (GO:0004476)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
organophosphate:inorganic phosphate antiporter activity (GO:0015315)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
malate synthase activity (GO:0004474)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
18S rRNA aminocarboxypropyltransferase activity (GO:0106388)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
malic enzyme activity (GO:0004470)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity (GO:0106386)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cupric reductase activity (GO:0008823)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
large conductance calcium-activated potassium channel activity (GO:0060072)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
crossover junction endodeoxyribonuclease activity (GO:0008821)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
