




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
septin ring (GO:0005940)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated endoplasmic reticulum membrane (GO:0044233)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
organelle membrane contact site (GO:0044232)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell surface (GO:0044228)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
bicellular tight junction (GO:0005923)	51	0	.86	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase complex (GO:0071513)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex (GO:1990124)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIB complex (GO:0000126)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA ligase III-XRCC1 complex (GO:0070421)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
spanning component of plasma membrane (GO:0044214)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulator complex (GO:0000120)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
adherens junction (GO:0005912)	74	0	1.24	-	 < 0.01	6.36E-01	1.00E00
nonhomologous end joining complex (GO:0070419)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of autophagosome membrane (GO:0097637)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of autophagosome membrane (GO:0097636)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of autophagosome membrane (GO:0097635)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 2 complex (GO:0000111)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
integral component of omegasome membrane (GO:0097631)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chromatin lock complex (GO:0061793)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of omegasome membrane (GO:0097630)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
microvillus (GO:0005902)	35	0	.59	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment membrane (GO:0060342)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
specific granule lumen (GO:0035580)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
KICSTOR complex (GO:0140007)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
specific granule membrane (GO:0035579)	40	0	.67	-	 < 0.01	1.00E00	1.00E00
integral component of lysosomal membrane (GO:1905103)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (ADP-forming) (GO:0009361)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA polymerase III complex (GO:0009360)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin small complex (GO:0008275)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Tapasin-ERp57 complex (GO:0061779)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
eNoSc complex (GO:0061773)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
spanning component of membrane (GO:0089717)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
THO complex part of transcription export complex (GO:0000445)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
chromaffin granule lumen (GO:0034466)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
outer dense fiber (GO:0001520)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
basolateral part of cell (GO:1990794)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum membrane (GO:0033017)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
nuclear cohesin complex (GO:0000798)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
U2AF complex (GO:0089701)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex (GO:0000795)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome (GO:0000794)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase complex (GO:0008250)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
heterochromatin (GO:0000792)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor complex (GO:0032281)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase complex (GO:0009331)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
GLI-SUFU complex (GO:1990788)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ryanodine receptor complex (GO:1990425)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RZZ complex (GO:1990423)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	62	0	1.04	-	 < 0.01	6.28E-01	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
ISGF3 complex (GO:0070721)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleosome (GO:0000786)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cone photoreceptor outer segment (GO:0120199)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
autophagosome membrane (GO:0000421)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ATAC complex (GO:0140672)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
proximal neuron projection (GO:1990769)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
integral component of vacuolar membrane (GO:0031166)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule end (GO:1990752)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	44	0	.74	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
lipid tube (GO:0060987)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
host cellular component (GO:0018995)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
recycling endosome lumen (GO:0034777)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
EARP complex (GO:1990745)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
microvesicle (GO:1990742)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
PAR polarity complex (GO:0120157)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inflammasome complex (GO:0061702)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
GATOR2 complex (GO:0061700)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
pseudopodium (GO:0031143)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
hemidesmosome (GO:0030056)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RISC complex (GO:0016442)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network membrane (GO:0032588)	47	0	.79	-	 < 0.01	1.00E00	1.00E00
multivesicular body membrane (GO:0032585)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna membrane (GO:0032580)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
TTT complex (GO:0110078)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Lsm1-7-Pat1 complex (GO:1990726)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor complex (GO:0034751)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Scrib-APC-beta-catenin complex (GO:0034750)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cellularization cleavage furrow (GO:0110070)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DAPK1-calmodulin complex (GO:1990722)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
actomyosin (GO:0042641)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
DNA packaging complex (GO:0044815)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, base subcomplex (GO:0008540)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
growing cell tip (GO:0035838)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule end (GO:1905721)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule bundle (GO:1905720)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
axonemal central apparatus (GO:1990716)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
HFE-transferrin receptor complex (GO:1990712)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Ski complex (GO:0055087)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
beta-catenin-ICAT complex (GO:1990711)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
chylomicron (GO:0042627)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
MAD1 complex (GO:1990706)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment membrane (GO:0042622)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
host cell part (GO:0033643)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Lsm2-8 complex (GO:0120115)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Sm-like protein family complex (GO:0120114)	46	0	.77	-	 < 0.01	1.00E00	1.00E00
neuron projection cytoplasm (GO:0120111)	45	0	.76	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase complex (GO:0048269)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
septin complex (GO:0031105)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Cul7-RING ubiquitin ligase complex (GO:0031467)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul5-RING ubiquitin ligase complex (GO:0031466)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Cul2-RING ubiquitin ligase complex (GO:0031462)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex (GO:0042613)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex (GO:0042612)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MHC protein complex (GO:0042611)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT core complex (GO:0030015)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT complex (GO:0030014)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
serotonergic synapse (GO:0099154)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
centriolar subdistal appendage (GO:0120103)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
egg coat (GO:0035805)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CURI complex (GO:0032545)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cortical endoplasmic reticulum (GO:0032541)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
SMN-Sm protein complex (GO:0034719)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
SMN-Gemin2 complex (GO:0034718)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pICln-Sm protein complex (GO:0034715)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPP complex (GO:0030008)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic membrane (GO:0099144)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
methylosome (GO:0034709)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
methyltransferase complex (GO:0034708)	56	0	.94	-	 < 0.01	1.00E00	1.00E00
chloride channel complex (GO:0034707)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
sodium channel complex (GO:0034706)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
potassium channel complex (GO:0034705)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
collagen type XVI trimer (GO:0005597)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type XIV trimer (GO:0005596)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type XII trimer (GO:0005595)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor complex (GO:1903503)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
FACIT collagen trimer (GO:0005593)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
collagen type XI trimer (GO:0005592)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum lumen (GO:0048237)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase activator complex (GO:1902773)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ATPase complex (GO:1904949)	61	0	1.02	-	 < 0.01	6.28E-01	1.00E00
B-WICH complex (GO:0110016)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
BRCA1-BARD1 complex (GO:0031436)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
recycling endosome membrane (GO:0055038)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
recycling endosome (GO:0055037)	90	0	1.51	-	 < 0.01	4.07E-01	1.00E00
M band (GO:0031430)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
collagen type VI trimer (GO:0005589)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type V trimer (GO:0005588)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
collagen type IV trimer (GO:0005587)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta complex (GO:0099126)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
collagen type I trimer (GO:0005584)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulator complex (GO:0090576)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex (GO:0031429)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
box C/D RNP complex (GO:0031428)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase complex (GO:0009923)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle (GO:0070081)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	61	0	1.02	-	 < 0.01	6.28E-01	1.00E00
RecQ family helicase-topoisomerase III complex (GO:0031422)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cortical microtubule (GO:0055028)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
amphisome membrane (GO:1904930)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
membrane attack complex (GO:0005579)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
fibrinogen complex (GO:0005577)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
chromosome, subtelomeric region (GO:0099115)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Noc2p-Noc3p complex (GO:0030691)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Noc1p-Noc2p complex (GO:0030690)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CMG complex (GO:0071162)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
NatC complex (GO:0031417)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NatB complex (GO:0031416)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NatA complex (GO:0031415)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Noc complex (GO:0030689)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
preribosome, small subunit precursor (GO:0030688)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
preribosome, large subunit precursor (GO:0030687)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
90S preribosome (GO:0030686)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
ERBB3:ERBB2 complex (GO:0038143)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NF-kappaB complex (GO:0071159)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
preribosome (GO:0030684)	51	0	.86	-	 < 0.01	1.00E00	1.00E00
multimeric ribonuclease P complex (GO:0030681)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
cytochrome complex (GO:0070069)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytolytic granule membrane (GO:0101004)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
ribonuclease P complex (GO:0030677)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
axolemma (GO:0030673)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
homomeric SMAD protein complex (GO:0071142)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex (GO:0062167)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Flemming body (GO:0090543)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
box H/ACA scaRNP complex (GO:0072589)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle membrane (GO:0030669)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
coated vesicle membrane (GO:0030662)	67	0	1.13	-	 < 0.01	6.30E-01	1.00E00
