




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
host cell part (GO:0033643)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Sm-like protein family complex (GO:0120114)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
neuron projection cytoplasm (GO:0120111)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase complex (GO:0048269)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
septin complex (GO:0031105)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Cul5-RING ubiquitin ligase complex (GO:0031466)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
Cul2-RING ubiquitin ligase complex (GO:0031462)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex (GO:0042613)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex (GO:0042612)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC protein complex (GO:0042611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT core complex (GO:0030015)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT complex (GO:0030014)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
centriolar subdistal appendage (GO:0120103)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
CURI complex (GO:0032545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical endoplasmic reticulum (GO:0032541)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
SMN-Sm protein complex (GO:0034719)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
SMN-Gemin2 complex (GO:0034718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pICln-Sm protein complex (GO:0034715)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPP complex (GO:0030008)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic density membrane (GO:0099146)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic membrane (GO:0099144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic actin cytoskeleton (GO:0099143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylosome (GO:0034709)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
methyltransferase complex (GO:0034708)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
chloride channel complex (GO:0034707)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
sodium channel complex (GO:0034706)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium channel complex (GO:0034705)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
collagen type XVI trimer (GO:0005597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XIV trimer (GO:0005596)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XII trimer (GO:0005595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor complex (GO:1903503)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FACIT collagen trimer (GO:0005593)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum lumen (GO:0048237)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase complex (GO:1904949)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
B-WICH complex (GO:0110016)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
BRCA1-BARD1 complex (GO:0031436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
recycling endosome membrane (GO:0055038)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
recycling endosome (GO:0055037)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
M band (GO:0031430)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
collagen type VI trimer (GO:0005589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type V trimer (GO:0005588)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type IV trimer (GO:0005587)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type III trimer (GO:0005586)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperone complex (GO:0101031)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta complex (GO:0099126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type I trimer (GO:0005584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibrillar collagen trimer (GO:0005583)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
collagen type XV trimer (GO:0005582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen trimer (GO:0005581)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulator complex (GO:0090576)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	94	0	.75	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex (GO:0031429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basal plasma membrane (GO:0009925)	63	0	.50	-	 < 0.01	1.00E00	1.00E00
box C/D RNP complex (GO:0031428)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase complex (GO:0009923)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle (GO:0070081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
RecQ family helicase-topoisomerase III complex (GO:0031422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical microtubule (GO:0055028)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amphisome membrane (GO:1904930)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
fibrinogen complex (GO:0005577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome, subtelomeric region (GO:0099115)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc2p-Noc3p complex (GO:0030691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc1p-Noc2p complex (GO:0030690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CMG complex (GO:0071162)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NatC complex (GO:0031417)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NatA complex (GO:0031415)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Noc complex (GO:0030689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
preribosome, small subunit precursor (GO:0030688)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
preribosome, large subunit precursor (GO:0030687)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
90S preribosome (GO:0030686)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
ERBB3:ERBB2 complex (GO:0038143)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NF-kappaB complex (GO:0071159)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
preribosome (GO:0030684)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
multimeric ribonuclease P complex (GO:0030681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytochrome complex (GO:0070069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytolytic granule membrane (GO:0101004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule (GO:0101002)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
T-tubule (GO:0030315)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
ribonuclease P complex (GO:0030677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
junctional membrane complex (GO:0030314)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
axolemma (GO:0030673)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle membrane (GO:0030672)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle membrane (GO:0030670)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
dendritic filopodium (GO:1902737)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
homomeric SMAD protein complex (GO:0071142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex (GO:0062167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory granule membrane (GO:0030667)	75	0	.60	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle membrane (GO:0030660)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
dendrite cytoplasm (GO:0032839)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP-gated potassium channel complex (GO:0062157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CERF complex (GO:0090537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
WICH complex (GO:0090535)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cation-transporting ATPase complex (GO:0090533)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
catalase complex (GO:0062151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fumarate reductase complex (GO:0045283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (GO:0045281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoophidium (GO:0097268)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic reticulum (GO:0044195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytolytic granule (GO:0044194)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin receptor complex (GO:0005899)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transport vesicle membrane (GO:0030658)	47	0	.37	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor complex (GO:0005896)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor complex (GO:0005895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated channel complex (GO:0005892)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV (GO:0045277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III (GO:0045275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II (GO:0045273)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex I (GO:0045271)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
R2TP complex (GO:0097255)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription export complex 2 (GO:0070390)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endothelial microparticle (GO:0072563)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
blood microparticle (GO:0072562)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
Arp2/3 protein complex (GO:0005885)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament (GO:0005884)	43	0	.34	-	 < 0.01	1.00E00	1.00E00
neurofilament (GO:0005883)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
intermediate filament (GO:0005882)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule (GO:0005881)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycinergic synapse (GO:0098690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta ligand-receptor complex (GO:0070021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle microtubule (GO:0005876)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
microtubule associated complex (GO:0005875)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
kinesin complex (GO:0005871)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B (GO:0030992)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
neuronal cell body membrane (GO:0032809)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A (GO:0030991)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle (GO:0030990)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA ligase IV complex (GO:0032807)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber to CA3 synapse (GO:0098686)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (ubiquinone) (GO:0045257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small ribosomal subunit (GO:0015935)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
Schaffer collateral - CA1 synapse (GO:0098685)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
large ribosomal subunit (GO:0015934)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
photoreceptor ribbon synapse (GO:0098684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
periciliary membrane compartment (GO:1990075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
electron transfer flavoprotein complex (GO:0045251)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPPIII protein complex (GO:1990072)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPPII protein complex (GO:1990071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPPI protein complex (GO:1990070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EMC complex (GO:0072546)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
dynactin complex (GO:0005869)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic dynein complex (GO:0005868)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
striated muscle thin filament (GO:0005865)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
striated muscle myosin thick filament (GO:0005863)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle thin filament tropomyosin (GO:0005862)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
troponin complex (GO:0005861)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
distal axon (GO:0150034)	75	0	.60	-	 < 0.01	1.00E00	1.00E00
caveola neck (GO:0099400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical microtubule cytoskeleton (GO:0030981)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
germ cell nucleus (GO:0043073)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF7L2 complex (GO:0070369)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle (GO:0048500)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RPAP3/R2TP/prefoldin-like complex (GO:1990062)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sperm principal piece (GO:0097228)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dihydrolipoyl dehydrogenase complex (GO:0045240)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm annulus (GO:0097227)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrial sheath (GO:0097226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm midpiece (GO:0097225)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
sperm connecting piece (GO:0097224)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle myosin complex (GO:0005859)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex (GO:0005854)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation elongation factor 1 complex (GO:0005853)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2B complex (GO:0005851)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2 complex (GO:0005850)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
germ plasm (GO:0060293)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle enzyme complex (GO:0045239)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral cell cortex (GO:0097575)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral part of cell (GO:0097574)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage factor complex (GO:0005849)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage stimulating factor complex (GO:0005848)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear cap binding complex (GO:0005846)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex (GO:0005845)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
clathrin complex (GO:0071439)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex (GO:0030964)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
ribosome (GO:0005840)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
LUBAC complex (GO:0071797)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle matrix (GO:1990047)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basement membrane collagen trimer (GO:0098651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body (GO:0097208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex (GO:0005839)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle (GO:0005838)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cell cortex region (GO:0099738)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein complex (GO:0005834)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperonin-containing T-complex (GO:0005832)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
enzyme activator complex (GO:0150005)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
primary dendrite (GO:0150001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen beaded filament (GO:0098647)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body corona (GO:1990038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body core (GO:1990037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen network (GO:0098645)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
complex of collagen trimers (GO:0098644)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
banded collagen fibril (GO:0098643)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
network-forming collagen trimer (GO:0098642)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
parallel fiber (GO:1990032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic membrane (GO:0045211)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
3M complex (GO:1990393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:0019008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FHF complex (GO:0070695)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pericellular basket (GO:1990030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA repair complex (GO:1990391)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
terminal cisterna lumen (GO:0014804)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terminal cisterna (GO:0014802)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kinetochore microtubule (GO:0005828)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
longitudinal sarcoplasmic reticulum (GO:0014801)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polar microtubule (GO:0005827)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription preinitiation complex (GO:0097550)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex (GO:0035145)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
anchored component of plasma membrane (GO:0046658)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
costamere (GO:0043034)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
isoamylase complex (GO:0043033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell tip (GO:0051286)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell adhesion (GO:0098636)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone (GO:1990023)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic vesicle membrane (GO:0098993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle (GO:0098992)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
macropinocytic cup (GO:0070685)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary base (GO:0097546)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
ciliary inversin compartment (GO:0097543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aster (GO:0005818)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ciliary tip (GO:0097542)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
centriole (GO:0005814)	51	0	.41	-	 < 0.01	1.00E00	1.00E00
lipid droplet (GO:0005811)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
anchoring collagen complex (GO:0030934)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuronal cell body (GO:0043025)	113	0	.90	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site membrane (GO:0034045)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
glucosidase II complex (GO:0017177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exomer complex (GO:0034044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron to neuron synapse (GO:0098984)	90	0	.72	-	 < 0.01	1.00E00	1.00E00
GABA-ergic synapse (GO:0098982)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cholinergic synapse (GO:0098981)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary transition fiber (GO:0097539)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase complex (GO:0000015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATR-ATRIP complex (GO:0070310)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MIB complex (GO:0140275)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	90	0	.72	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network (GO:0005801)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase complex (GO:1905370)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamatergic synapse (GO:0098978)	72	0	.57	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP complex (GO:0097525)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
COP9 signalosome (GO:0008180)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
BCOR complex (GO:0140261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endopeptidase complex (GO:1905369)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
peptidase complex (GO:1905368)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
Smc5-Smc6 complex (GO:0030915)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
GTPase complex (GO:1905360)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
perisynaptic extracellular matrix (GO:0098966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terminal web (GO:1990357)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear RNA export factor complex (GO:0042272)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
