




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
negative regulation of hormone secretion (GO:0046888)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of hormone secretion (GO:0046887)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of hormone biosynthetic process (GO:0046886)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hormone biosynthetic process (GO:0046885)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of hormone secretion (GO:0046883)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
positive regulation of follicle-stimulating hormone secretion (GO:0046881)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of follicle-stimulating hormone secretion (GO:0046880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell membrane potential (GO:0086036)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiosulfate transport (GO:0015709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iodide transport (GO:0015705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bicarbonate transport (GO:0015701)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of programmed necrotic cell death (GO:0062099)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of programmed necrotic cell death (GO:0062098)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
hormone secretion (GO:0046879)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
stomach development (GO:0062094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Purkinje myocyte to ventricular cardiac muscle cell signaling (GO:0086029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bundle of His cell to Purkinje myocyte signaling (GO:0086028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AV node cell to bundle of His cell signaling (GO:0086027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate (GO:0086024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0086023)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell junction disassembly (GO:0150146)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD80 production (GO:0150145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of CD80 production (GO:0150143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD86 production (GO:0150142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of CD86 production (GO:0150140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in cardiac conduction (GO:0086019)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
SA node cell to atrial cardiac muscle cell signaling (GO:0086018)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Purkinje myocyte action potential (GO:0086017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AV node cell action potential (GO:0086016)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SA node cell action potential (GO:0086015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell action potential (GO:0086014)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during action potential (GO:0086011)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane depolarization during action potential (GO:0086010)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
inositol phosphate dephosphorylation (GO:0046855)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of bone remodeling (GO:0046850)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
membrane repolarization (GO:0086009)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ventricular cardiac muscle cell action potential (GO:0086005)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell contraction (GO:0086004)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell contraction (GO:0086003)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell action potential involved in contraction (GO:0086002)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
inner ear auditory receptor cell differentiation (GO:0042491)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell action potential (GO:0086001)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
mechanoreceptor differentiation (GO:0042490)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuromuscular junction development (GO:1904398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bone remodeling (GO:0046849)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of neuromuscular junction development (GO:1904396)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
filopodium assembly (GO:0046847)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of odontogenesis (GO:0042482)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of odontogenesis (GO:0042481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell-substrate junction organization (GO:0150118)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell-substrate junction organization (GO:0150117)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of cell-substrate junction organization (GO:0150116)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
cell-substrate junction organization (GO:0150115)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of transepithelial transport (GO:0150111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid dephosphorylation (GO:0046839)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
cellular response to L-phenylalanine derivative (GO:1904387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylated carbohydrate dephosphorylation (GO:0046838)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
response to L-phenylalanine derivative (GO:1904386)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to angiotensin (GO:1904385)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphorylation (GO:0046835)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
response to sodium phosphate (GO:1904383)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid phosphorylation (GO:0046834)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mannose trimming involved in glycoprotein ERAD pathway (GO:1904382)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA export from nucleus (GO:0046833)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi apparatus mannose trimming (GO:1904381)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA export from nucleus (GO:0046832)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum mannose trimming (GO:1904380)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of RNA export from nucleus (GO:0046831)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
odontogenesis (GO:0042476)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
middle ear morphogenesis (GO:0042474)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
outer ear morphogenesis (GO:0042473)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lamellipodium organization (GO:0097581)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
inner ear morphogenesis (GO:0042472)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
ear morphogenesis (GO:0042471)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	71	0	.57	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cell-cell junction (GO:0150107)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cell-cell junction (GO:0150106)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to cell-cell junction (GO:0150105)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
transport across blood-brain barrier (GO:0150104)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
reactive gliosis (GO:0150103)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of monocyte activation (GO:0150102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to cytosolic proteasome complex involved in ERAD pathway (GO:1904379)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of unfolded protein involved in ERAD pathway (GO:1904378)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cell periphery (GO:1904377)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to cell periphery (GO:1904376)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein export from nucleus (GO:0046827)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cell periphery (GO:1904375)	39	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac epithelial to mesenchymal transition (GO:0062044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein export from nucleus (GO:0046825)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to kainic acid (GO:1904373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleocytoplasmic transport (GO:0046824)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac epithelial to mesenchymal transition (GO:0062042)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to actin cortical patch (GO:1904372)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleocytoplasmic transport (GO:0046823)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to actin cortical patch (GO:1904370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sequestering of iron ion (GO:0097577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eye photoreceptor cell development (GO:0042462)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell development (GO:0042461)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation (GO:0030497)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA (GO:0030490)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic sister chromatid segregation (GO:0062033)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
coreceptor-mediated virion attachment to host cell (GO:0046814)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside biosynthetic process (GO:0042455)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonucleoside catabolic process (GO:0042454)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside biosynthetic process (GO:0042451)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA methylation (GO:0030488)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of stress granule assembly (GO:0062029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of stress granule assembly (GO:0062028)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process (GO:0062026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via telomere lengthening (GO:1904356)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0062025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere capping (GO:1904355)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere capping (GO:1904354)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of telomere capping (GO:1904353)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein catabolic process in the vacuole (GO:1904352)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein catabolic process in the vacuole (GO:1904351)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein catabolic process in the vacuole (GO:1904350)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
anterior/posterior axis specification, embryo (GO:0008595)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
progesterone metabolic process (GO:0042448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hormone catabolic process (GO:0042447)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of Notch signaling pathway (GO:0008593)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
hormone biosynthetic process (GO:0042446)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of Toll signaling pathway (GO:0008592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hormone metabolic process (GO:0042445)	36	0	.29	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrial double-strand break repair via homologous recombination (GO:0097552)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial double-strand break repair (GO:0097551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment metabolic process (GO:0042440)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of triglyceride catabolic process (GO:0010898)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of triglyceride catabolic process (GO:0010896)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of small molecule metabolic process (GO:0062014)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of steroid biosynthetic process (GO:0010894)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of small molecule metabolic process (GO:0062013)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
positive regulation of steroid biosynthetic process (GO:0010893)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
axon midline choice point recognition (GO:0016199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of small molecule metabolic process (GO:0062012)	106	0	.85	-	 < 0.01	1.00E00	1.00E00
regulation of smoothened signaling pathway (GO:0008589)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
axon choice point recognition (GO:0016198)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sequestering of triglyceride (GO:0010891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of dopaminergic neuron differentiation (GO:1904340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of sequestering of triglyceride (GO:0010890)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ethanolamine-containing compound metabolic process (GO:0042439)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
female gonad development (GO:0008585)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
male gonad development (GO:0008584)	36	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic assembly at neuromuscular junction (GO:0008582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle uncoating (GO:0016191)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
indole-containing compound metabolic process (GO:0042430)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
secondary palate development (GO:0062009)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of sequestering of triglyceride (GO:0010889)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of dopaminergic neuron differentiation (GO:1904338)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid storage (GO:0010888)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholesterol storage (GO:0010887)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholesterol storage (GO:0010886)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol storage (GO:0010885)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipid storage (GO:0010884)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of lipid storage (GO:0010883)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle maturation (GO:0016188)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0016185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin metabolic process (GO:0042428)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lymphoid lineage cell migration into thymus (GO:0097535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle budding from endosome (GO:0016182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
choline catabolic process (GO:0042426)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lymphoid lineage cell migration (GO:0097534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA processing (GO:0016180)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
catecholamine catabolic process (GO:0042424)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catecholamine biosynthetic process (GO:0042423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
granulocyte migration (GO:0097530)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
dopamine catabolic process (GO:0042420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of complement activation, alternative pathway (GO:0030451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cholesterol transport involved in cholesterol storage (GO:0010879)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of myofibroblast contraction (GO:1904328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cholesterol storage (GO:0010878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to cytosolic proteasome complex (GO:1904327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipid transport involved in lipid storage (GO:0010877)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid localization (GO:0010876)	88	0	.70	-	 < 0.01	1.00E00	1.00E00
positive regulation of inhibitory G protein-coupled receptor phosphorylation (GO:1904325)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholesterol efflux (GO:0010875)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol efflux (GO:0010874)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of inhibitory G protein-coupled receptor phosphorylation (GO:1904323)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholesterol esterification (GO:0010873)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to forskolin (GO:1904322)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol esterification (GO:0010872)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to forskolin (GO:1904321)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
myeloid leukocyte migration (GO:0097529)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
necroptotic signaling pathway (GO:0097527)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine metabolic process (GO:0042417)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dopamine biosynthetic process (GO:0042416)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
norepinephrine metabolic process (GO:0042415)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
epinephrine metabolic process (GO:0042414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carnitine catabolic process (GO:0042413)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of complement activation (GO:0030449)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of triglyceride biosynthetic process (GO:0010868)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of triglyceride biosynthetic process (GO:0010867)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of triglyceride biosynthetic process (GO:0010866)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
response to methamphetamine hydrochloride (GO:1904313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipase C activity (GO:0010863)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cristae formation (GO:0042407)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
thyroid hormone metabolic process (GO:0042403)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine catabolic process (GO:0042402)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine biosynthetic process (GO:0042401)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent ERAD pathway (GO:0030433)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
peristalsis (GO:0030432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sleep (GO:0030431)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcytosis (GO:1904300)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
visual learning (GO:0008542)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
sialylation (GO:0097503)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mannosylation (GO:0097502)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
stress response to metal ion (GO:0097501)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
receptor localization to non-motile cilium (GO:0097500)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chromosome localization (GO:0050000)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
targeting of mRNA for destruction involved in RNA interference (GO:0030423)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
production of siRNA involved in RNA interference (GO:0030422)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin disassembly (GO:0010848)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin assembly (GO:0010847)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of reciprocal meiotic recombination (GO:0010845)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retina layer formation (GO:0010842)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV assembly (GO:0008535)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium activated phosphatidylcholine scrambling (GO:0061590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of keratinocyte proliferation (GO:0010839)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of keratinocyte proliferation (GO:0010838)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of keratinocyte proliferation (GO:0010837)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein ADP-ribosylation (GO:0010836)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein ADP-ribosylation (GO:0010835)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glycoside catabolic process (GO:0016139)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of myotube differentiation (GO:0010832)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium activated phosphatidylserine scrambling (GO:0061589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of myotube differentiation (GO:0010831)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycoside metabolic process (GO:0016137)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium activated phospholipid scrambling (GO:0061588)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of myotube differentiation (GO:0010830)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
intestinal epithelial cell migration (GO:0061582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
colon epithelial cell migration (GO:0061580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-templated viral transcription (GO:0039695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral RNA genome replication (GO:0039694)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucose transmembrane transport (GO:0010829)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of glucose transmembrane transport (GO:0010828)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
single stranded viral RNA replication via double stranded DNA intermediate (GO:0039692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glucose transmembrane transport (GO:0010827)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of centrosome duplication (GO:0010826)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of centrosome duplication (GO:0010825)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of centrosome duplication (GO:0010824)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrion organization (GO:0010823)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrion organization (GO:0010822)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrion organization (GO:0010821)	55	0	.44	-	 < 0.01	1.00E00	1.00E00
sterol catabolic process (GO:0016127)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell chemotaxis (GO:0010820)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol biosynthetic process (GO:0016126)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane transport via high voltage-gated calcium channel (GO:0061577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sterol metabolic process (GO:0016125)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
actin filament bundle organization (GO:0061572)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
negative stranded viral RNA replication (GO:0039689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
