




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
small molecule sensor activity (GO:0140299)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-binding transcription factor binding (GO:0140297)	190	0	.25	-	 < 0.01	1.00E00	1.00E00
general transcription initiation factor binding (GO:0140296)	24	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD DNA ADP-ribosyltransferase activity (GO:0140294)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oleic acid binding (GO:0070538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-ribosylglutamate hydrolase activity (GO:0140293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PH domain binding (GO:0042731)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase activity (GO:0000104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monosaccharide binding (GO:0048029)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acylmannosamine kinase activity (GO:0009384)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-UTR binding (GO:0048027)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
sugar-phosphatase activity (GO:0050308)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3'-5'-exodeoxyribonuclease activity (GO:0008296)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside kinase activity (GO:0019136)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CCR chemokine receptor binding (GO:0048020)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane insertase activity (GO:0032977)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lysophospholipid acyltransferase activity (GO:0071617)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA clamp unloader activity (GO:0061860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
four-way junction helicase activity (GO:0009378)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylarsonite methyltransferase activity (GO:0030792)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
receptor antagonist activity (GO:0048019)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
biotin binding (GO:0009374)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor ligand activity (GO:0048018)	43	0	.06	-	 < 0.01	1.00E00	1.00E00
lipid binding (GO:0008289)	210	0	.28	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor activity (GO:0008281)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exogenous protein binding (GO:0140272)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
proteinase activated receptor binding (GO:0031871)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidised low-density lipoprotein particle receptor activity (GO:0150025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
death domain binding (GO:0070513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U6 snRNA (adenine-(43)-N(6))-methyltransferase activity (GO:0120048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein methyltransferase activity (GO:0008276)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase [NAD(P)+] activity (GO:0019115)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric G-quadruplex DNA binding (GO:0061849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary active sulfate transmembrane transporter activity (GO:0008271)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
zinc ion binding (GO:0008270)	256	0	.34	-	 < 0.01	1.00E00	1.00E00
histone-lysine N-methyltransferase activity (GO:0018024)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex binding (GO:0140262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
netrin receptor binding (GO:1990890)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
scaffold protein binding (GO:0097110)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0001888)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleoside binding (GO:0001883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside binding (GO:0001882)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
myristoyltransferase activity (GO:0019107)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(U) RNA binding (GO:0008266)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA N-glycosylase activity (GO:0019104)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine-specific mismatch base pair DNA N-glycosylase activity (GO:0008263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide binding (GO:0019103)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase binding (GO:0050998)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
quaternary ammonium group binding (GO:0050997)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
3-oxoacid CoA-transferase activity (GO:0008260)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
receptor-receptor interaction (GO:0090722)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
H4K20me3 modified histone binding (GO:1990889)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hedgehog family protein binding (GO:0097108)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
supercoiled DNA binding (GO:0097100)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cholesterol transfer activity (GO:0120020)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-nucleotidase activity (GO:0008253)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotidase activity (GO:0008252)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine deaminase activity (GO:0008251)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-succinyllysine desuccinylase activity (GO:0036055)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-malonyllysine demalonylase activity (GO:0036054)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol binding (GO:0032934)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
olfactory receptor binding (GO:0031849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric D-loop binding (GO:0061821)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuropeptide Y receptor binding (GO:0031841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide phosphoethanolamine synthase activity (GO:0002950)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine transfer activity (GO:0120019)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide transfer activity (GO:0120017)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingolipid transfer activity (GO:0120016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol transfer activity (GO:0120015)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
adenyl-nucleotide exchange factor activity (GO:0000774)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid transfer activity (GO:0120014)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid transfer activity (GO:0120013)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-methylethanolamine N-methyltransferase activity (GO:0000773)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
omega peptidase activity (GO:0008242)	51	0	.07	-	 < 0.01	1.00E00	1.00E00
tripeptidyl-peptidase activity (GO:0008240)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase inhibitor activity (GO:0010521)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acyl-CoA binding (GO:0036042)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid binding (GO:0036041)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein binding (GO:0030742)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
dipeptidyl-peptidase activity (GO:0008239)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
exopeptidase activity (GO:0008238)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
metallopeptidase activity (GO:0008237)	36	0	.05	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase activity (GO:0008236)	29	0	.04	-	 < 0.01	1.00E00	1.00E00
metalloexopeptidase activity (GO:0008235)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleotidase, cyclic ADP-ribose generating (GO:0061809)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type peptidase activity (GO:0008234)	73	0	.10	-	 < 0.01	1.00E00	1.00E00
procollagen-proline dioxygenase activity (GO:0019798)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidase activity (GO:0008233)	144	0	.19	-	 < 0.01	1.00E00	1.00E00
mediator complex binding (GO:0036033)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of presynaptic active zone (GO:0098882)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
general transcription initiation factor activity (GO:0140223)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor binding (GO:0031821)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex binding (GO:0001849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
complement binding (GO:0001848)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
opsonin binding (GO:0001846)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
SUMO transferase activity (GO:0019789)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
NEDD8 transferase activity (GO:0019788)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein transferase activity (GO:0019787)	186	0	.25	-	 < 0.01	1.00E00	1.00E00
Atg8-specific protease activity (GO:0019786)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NEDD8-specific protease activity (GO:0019784)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein-specific protease activity (GO:0019783)	55	0	.07	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic specialization (GO:0098879)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NEDD8 activating enzyme activity (GO:0019781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FAT10 activating enzyme activity (GO:0019780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyribonuclease inhibitor activity (GO:0060703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
promoter-specific chromatin binding (GO:1990841)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
Atg8 activating enzyme activity (GO:0019779)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg12 activating enzyme activity (GO:0019778)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sequence-specific double-stranded DNA binding (GO:1990837)	364	0	.48	-	 < 0.01	1.00E00	1.00E00
type 5 metabotropic glutamate receptor binding (GO:0031802)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
type 3 metabotropic glutamate receptor binding (GO:0031800)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	47	0	.06	-	 < 0.01	1.00E00	1.00E00
heparin binding (GO:0008201)	47	0	.06	-	 < 0.01	1.00E00	1.00E00
GAF domain binding (GO:0036004)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ion channel inhibitor activity (GO:0008200)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA binding (GO:0036002)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity (GO:0016491)	171	0	.23	-	 < 0.01	1.00E00	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sequence-specific single stranded DNA binding (GO:0098847)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA adenylyltransferase activity (GO:1990817)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
primary active transmembrane transporter activity (GO:0015399)	41	0	.05	-	 < 0.01	1.00E00	1.00E00
sulfate binding (GO:0043199)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium:proton antiporter activity (GO:0015386)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mismatch base pair DNA N-glycosylase activity (GO:0000700)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthase activity (GO:0009982)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 2 binding (GO:0043184)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 1 binding (GO:0043183)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity (GO:0008894)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BMP receptor activity (GO:0098821)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium:chloride symporter activity (GO:0015379)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrophosphatase activity (GO:0016462)	216	0	.29	-	 < 0.01	1.00E00	1.00E00
sodium:chloride symporter activity (GO:0015378)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase inhibitor activity (GO:0055105)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cation:chloride symporter activity (GO:0015377)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine:sodium symporter activity (GO:0015375)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipase inhibitor activity (GO:0055102)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	29	0	.04	-	 < 0.01	1.00E00	1.00E00
cyclase activity (GO:0009975)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid binding (GO:0043177)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
anion:sodium symporter activity (GO:0015373)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adiponectin binding (GO:0055100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerophosphodiester phosphodiesterase activity (GO:0008889)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905060)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
solute:sodium symporter activity (GO:0015370)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
5-methyltetrahydrofolate-dependent methyltransferase activity (GO:0042084)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
15-oxoprostaglandin 13-oxidase activity (GO:0047522)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylthiotransferase activity (GO:0035596)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ganglioside binding (GO:0035594)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
signaling adaptor activity (GO:0035591)	30	0	.04	-	 < 0.01	1.00E00	1.00E00
C-acetyltransferase activity (GO:0016453)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mercury ion binding (GO:0045340)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration (GO:1905056)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:cation antiporter activity (GO:0015368)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cation binding (GO:0043169)	1177	0	1.56	-	 < 0.01	3.50E-01	1.00E00
disordered domain specific binding (GO:0097718)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-acyltransferase activity (GO:0019707)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-myristoyltransferase activity (GO:0019705)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4-methyl-lysine-20 demethylase activity (GO:0035575)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:0034485)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA cytidylyltransferase activity (GO:0016437)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine) methyltransferase activity (GO:0016436)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate sulfotransferase activity (GO:0034483)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
unmethylated CpG binding (GO:0045322)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine) methyltransferase activity (GO:0016434)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transmembrane transporter activity (GO:0015349)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-uridine aminocarboxypropyltransferase activity (GO:0016432)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemoattractant activity (GO:0042056)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease III activity (GO:0008853)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (GO:0042054)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
polydeoxyribonucleotide 5'-hydroxyl-kinase activity (GO:0046404)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N1-)-methyltransferase activity (GO:0016429)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-5-)-methyltransferase activity (GO:0016428)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine) methyltransferase activity (GO:0016427)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine) methyltransferase activity (GO:0016426)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation regulator activity, nucleic acid binding (GO:0090079)	40	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine) methyltransferase activity (GO:0016423)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
N,N-dimethylaniline monooxygenase activity (GO:0004499)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity (GO:0016422)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CoA carboxylase activity (GO:0016421)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
monooxygenase activity (GO:0004497)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
malonyltransferase activity (GO:0016420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA helicase activity (GO:0043139)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA-specific ribonuclease activity (GO:0032296)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin binding (GO:0043130)	54	0	.07	-	 < 0.01	1.00E00	1.00E00
neurexin family protein binding (GO:0042043)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular adaptor activity (GO:0060090)	139	0	.18	-	 < 0.01	1.00E00	1.00E00
protein phosphorylated amino acid binding (GO:0045309)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
S-malonyltransferase activity (GO:0016419)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-acetyltransferase activity (GO:0016418)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-acyltransferase activity (GO:0016417)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
O-palmitoyltransferase activity (GO:0016416)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
octanoyltransferase activity (GO:0016415)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-octanoyltransferase activity (GO:0016414)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-acetyltransferase activity (GO:0016413)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acylglycerol O-acyltransferase activity (GO:0016411)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acyltransferase activity (GO:0016410)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA guanylyltransferase activity (GO:0004484)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (nucleoside-2'-O-)-methyltransferase activity (GO:0004483)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotrophin binding (GO:0043121)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor binding (GO:0043120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dGTPase activity (GO:0008832)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor activity (GO:0042030)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3'-5' RNA helicase activity (GO:0034458)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase activity (GO:0016409)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
C-acyltransferase activity (GO:0016408)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activity (GO:0016407)	39	0	.05	-	 < 0.01	1.00E00	1.00E00
carnitine O-acyltransferase activity (GO:0016406)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CoA-ligase activity (GO:0016405)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
dynactin binding (GO:0034452)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NAD+) activity (GO:0016404)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-ubiquitin ligase activity (GO:0034450)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pristanoyl-CoA oxidase activity (GO:0016402)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA oxidase activity (GO:0016401)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
organophosphate:inorganic phosphate antiporter activity (GO:0015315)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate synthase activity (GO:0004474)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
18S rRNA aminocarboxypropyltransferase activity (GO:0106388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malic enzyme activity (GO:0004470)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity (GO:0106386)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cupric reductase activity (GO:0008823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
large conductance calcium-activated potassium channel activity (GO:0060072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
crossover junction endodeoxyribonuclease activity (GO:0008821)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid-CoA ligase activity (GO:0004467)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain-acyl-CoA dehydrogenase activity (GO:0004466)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein lipase activity (GO:0004465)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
anion:anion antiporter activity (GO:0015301)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lactose synthase activity (GO:0004461)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cob(I)yrinic acid a,c-diamide adenosyltransferase activity (GO:0008817)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-hydroxyphytanoyl-CoA lyase activity (GO:0106376)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxynucleoside triphosphate hydrolase activity (GO:0106375)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine binding (GO:0031177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-deoxyglucosone dehydrogenase activity (GO:0106373)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
choline dehydrogenase activity (GO:0008812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
